code	label_sv	comment_sv	label_en	term	rda_app_i_1_en	rda_app_i_2_en	rda_app_i_3_en
abr	Förkortad utgåva		Abridger		abridger		
acp	Konstkopist		Art copyist				
act	Skådespelare		Actor		actor		
adi	Art Director	"Jfr ""ard"" (konstnärlig ledare)"	Art Director		art director		
adp	Bearbetare		Adapter				
aft	Efterord, kolofon etc.		Author of afterword, colophon, etc.				
anl	Analytiker		Analyst				
anm	Animatör		Animator		animator		
ann	Annotation	Författare till handskrivna kommentarer på exemplaret	Annotator		annotator		
ant	Baserat på	"Bibliografisk föregångare; jfr ""ccp"" (idé, koncept)"	Bibliographic antecedent				
ape	Svarande part i appellationsdomstol		Appellee		appellee		
apl	Överklagande part i appellationsdomstol		Appellant		appellant		
app	Sökande		Applicant				
aqt	Citat, textudrag	Författare till citat etc. i utställningskataloger, fotografisamlingar etc.	Author in quotations or text abstracts				
arc	Arkitekt		Architect		architect		
ard	Konstnärlig ledare		Artistic director				
arr	Arrangemang	Musik	Arranger		arranger		
art	Konstnär		Artist		artist		
asg	Innehavare av tryckeri- eller utgivarlicens		Assignee				
asn	Associerat namn	Okänt samband	Associated name				
ato	Autograf/signatur	"Person vars signatur finns på exemplaret; jfr ""sgn"" (signatur)"	Autographer		autographer		
att	Attribuerat/tillskrivet namn		Attributed name				
auc	Auktionsförrättare		Auctioneer				
aud	Dialogförfattare	Film, ljudupptagningar	Author of dialog				
aui	Förord, introducerande material		Author of introduction		writer of introduction	writer of preface	writer of supplementary textual content
aus	Manusförfattare	Film	Screenwriter		screenwriter		
aut	Författare		Author		author		
bdd	Bokband	Bokbandsformgivare	Binding designer				
bjd	Skyddsomslag	"Formgivare av skyddsomslag; jfr ""cov"" (omslag)"	Bookjacket designer				
bkd	Bokformgivare		Book designer		book designer		
bkp	Bokproducent		Book producer				
blw	Förlags-/reklamtext	Författare till baksidestext, reklammaterial etc.	Blurb writer				
bnd	Bokbindare		Binder		binder		
bpd	Exlibris, bokägarmärke	Avser formgivaren	Bookplate designer				
brd	TV-/radioutsändning	Person etc. som arbetar med utsändning via TV, radio, webcast eller liknande	Broadcaster		broadcaster		
brl	Punktskriftspräglare		Braille embosser		braille embosser		
bsl	Bokhandlare		Bookseller				
cas	Gjutare		Caster		caster		
ccp	Idé, koncept	"Jfr ""ant"" (baserat på)"	Conceptor				
chr	Koreograf		Choreographer		choreographer	choreographer (expression)	
clb	Redaktionell medarbetare	"Obsolet; använd ""ctb"" (bidragsgivare)"	Collaborator				
cli	Klient		Client				
cll	Kalligraf		Calligrapher				
clr	Färg	Färgläggare av teckningar, tryck, fotografier, kartor, filmer etc.	Colorist				
clt	Ljustryck	Ljustryck = Plantrycksmetod för mångfaldigande utan raster av i huvudsak konstverk och fotografier	Collotyper		collotyper		
cmm	Kommentar	AV-medier	Commentator		commentator		
cmp	Kompositör, tonsättare		Composer		composer	composer (expression)	
cmt	Sättare		Compositor				
cnd	Dirigent		Conductor		conductor		
cng	Filmfotograf		Cinematographer		cirector of photography		
cns	Censor		Censor				
coe	Contestant -appellee	Juridisk term ung. motsvarande åklagare	Contestant -appellee				
col	Samlare		Collector		collector		
com	Sammanställare		Compiler		compiler		
con	Konservator		Conservator				
cor	Samlingsregistrator	"Förtecknare/inventerare av föremål eller exemplar som ingår i samlingsutställning/samlingsverk; Jfr ""cur"" (utställningsansvarig, utställningskommissarie)"	Collection registrar		collection registrar		
cos	Contestant	Juridisk term ung. motsvarande åklagare	Contestant				
cot	Contestant -appellant	Juridisk term ung. motsvarande åklagare	Contestant -appellant				
cou	Domstols regelverk		Court governed		court governed		
cov	Omslag	"Formgivare av bokomslag; jfr ""bjd"" (skyddsomslag)"	Cover designer				
cpc	Upphovsrättssökande		Copyright claimant				
cpe	Complainant-appellee	Juridisk term ung. motsvarande kärande, målsägande	Complainant-appellee				
cph	Upphovsrättsinnehavare		Copyright holder				
cpl	Complainant	Juridisk term ung. motsvarande kärande, målsägande	Complainant				
cpt	Complainant-appellant	Juridisk term ung. motsvarande kärande, målsägande	Complainant-appellant				
cre	Upphov/creator		Creator				
crp	Korrespondens		Correspondent				
crr	Handskriftskorrektur	"Jfr ""prf"" (korrekturläsare)"	Corrector				
crt	Domstolsreporter		Court reporter		court reporter		
csl	Konsult		Consultant		consultant		
csp	Projektkonsult		Consultant to a project				
