code	label_sv	comment_sv
   	Uppgift saknas	
9fd	Forndanska 	-1500 (Librisdefinierad kod)
9fs	Fornsvenska 	-1500 (Librisdefinierad kod)
9ft	Fornlågtyska 	Ca 850-1050 (Librisdefinierad kod)
9sl	Lulesamiska 	"Obsolet Librisdefinierad kod: använd ""smj"""
9so	Östsamiska 	"Obsolet Librisdefinierad kod: använd ""smn"" (enaresamiska), ""sms"" (skoltsamiska) eller ""smi"" (samiska)"
9ss	Sydsamiska 	"Obsolet Librisdefinierad kod: använd ""sma"""
aar	Afar	Även afariska
abk	Abchaziska	
ace	Achenesiska	Även atjehnesiska
ach	Acholi	
ada	Adangme	
ady	Adygeiska	
afa	Afro-asiatiska språk (övriga)	
afh	Afrihili 	Konstgjort språk
afr	Afrikaans	
ain	Ainu	
aka	Akan	
akk	Akkadiska	
alb	Albanska	
ale	Aleutiska	
alg	Algonkinska språk (övriga)	
alt	Sydaltaiska	
amh	Amhariska	Även amharinja
ang	Fornengelska 	Ca 450-1100
anp	Angika	
apa	Apachiska språk (övriga)	
ara	Arabiska	
arc	Arameiska	
arg	Aragonska	
arm	Armeniska	
arn	Mapudungun 	Även arakuanska, mapuche
arp	Arapaho	
art	Konstgjorda språk (övriga)	
arw	Arawakiska	
asm	Assamesiska	Även asamiya
ast	Asturiska 	Även bable
ath	Athapaskiska språk (övriga)	
aus	Australiska språk (övriga)	
ava	Avariska språk	
ave	Avestiska	Även pazand
awa	Awadhi	
aym	Aymara	
aze	Azerbajdzjanska	Även azeri, azeriska
bad	Bandaspråk	
bai	Bamilekespråk 	
bak	Basjkiriska	
bal	Baluchiska	
bam	Bambara	
ban	Balinesiska	
baq	Baskiska	
bas	Basa 	bantuspråk
bat	Baltiska språk (övriga)	
bej	Beyja	
bel	Vitryska	
bem	Bemba	
ben	Bengali	Även bengaliska
ber	Berberspråk (övriga)	
bho	Bhojpuri	
bih	Bihari	
bik	Bikol	Även bicolano
bin	Edo 	Även bini
bis	Bislama	
bla	Siksiká	"Svartfotindianernas språk; även pikanii "
bnt	Bantuspråk (övriga)	
bos	Bosniska	
bra	Braj Basha	
bre	Bretonska	
btk	Batak	
bua	Burjatiska	
bug	Buginesiska	
bul	Bulgariska	
bur	Burmanska	
byn	Bilin	
cad	Caddo	
cai	Centralamerikanska indianspråk (övriga)	
car	Karibiska	
cat	Katalanska	
cau	Kaukasiska språk (övriga)	
ceb	Cebuano	Även visaya, bisaya
cel	Keltiska språk (övriga)	
cha	Chamorro	
chb	Chibcha	
che	Tjetjenska	
chg	Chagatai	
chi	Kinesiska	
chk	Chuukesiska 	Även truk
chm	Mariska 	Även mari, tjeremissiska
chn	Chinook	
cho	Choctaw	
chp	Chopi	
chr	Cherokesiska	
chu	Fornkyrkslaviska	
chv	Tjuvasjiska	
chy	Cheyenne	
cmc	Chamicspråk	
cop	Koptiska	
cor	Korniska	
cos	Korsikanska	
cpe	Kreol- och Pidginspråk, engelskbaserade (övriga)	
cpf	Kreol- och Pidginspråk, franskbaserade (övriga)	
cpp	Kreol- och Pidginspråk, portugisiskbaserade (övriga)	
cre	Cree	Även cri
crh	Krimtatariska 	Även krimturkiska
crp	Kreol- och Pidginspråk (övriga)	
csb	Kasjubiska	
cus	Kusjitiska språk (övriga)	
cze	Tjeckiska	
dak	Dakota	
dan	Danska	
