auth/128699	Socialdepartementet
auth/137267	(100 1_ ‡a Larsson, Christer, ‡d 1950-, ‡c bibliotekarie)
auth/139860	Arkiv; SAO
auth/140482	Barnpsykologi; SAO
auth/156486	Pengar; SAO
auth/169409	(100 1_ ‡a Beethoven, Ludwig van, ‡d 1770-1827. ‡t Kvintett, ‡m piano, oboe, klarinett, horn, fagott, ‡n op. 16, ‡r Ess-dur; ‡o arr. piano, stråkar)
auth/176404	(100 0_ ‡a Birger Jarl, ‡d d. 1266)
auth/180036	(100 0_ ‡a Birgitta, ‡c helgon, ‡d 1303-1373)
auth/184982	(100 1_ ‡a Eliot, T. S. ‡q (Thomas Stearns), ‡d 1888-1965)
auth/189316	(100 0_ ‡a Homeros, ‡d 700-talet f.Kr.)
auth/191493	Lars Jansson (förekommer som contributor)
auth/191503	Jansson, Tove
auth/191698	(100 0_ ‡a Johannes ‡b XXIII, ‡c påve, ‡d 1881-1963)
auth/193755	(100 0_ ‡a Karl ‡b XIV Johan, ‡c kung av Sverige och Norge, ‡d 1763-1844)
auth/193552	Bachman, Richard
auth/210204	King, Stephen
auth/201439	(100 1_ ‡a Tjechov, Anton, ‡d 1860-1904) --> se särskilt förklarande fras (#i), forskningsbiblioteksform resp. originalform
auth/202195	(100 0_ ‡a Li, Li, ‡d 1961-) -- borde vara 100 0_
auth/209046	Hindenburg, Bernhard von, 1859-
auth/209925	(100 0_ ‡a E-Type, ‡d 1965-)
auth/214608	(100 1_ ‡a Beethoven, Ludwig van, ‡d 1770-1827. ‡t Fantasi, ‡m piano, blandad kör, orkester, ‡n op. 80, ‡r c-moll)
auth/217613	(100 0_ ‡a Johannes de Hese, ‡d 13/1400-talet)
auth/223194	(100 1_ ‡a Beethoven, Ludwig van, ‡d 1770-1827. ‡t Konsert, ‡m pianotrio, orkester, ‡n op. 56, ‡r C-dur, 'Trippelkonserten')
auth/247755	Pengar; barnämnesord
auth/249363	(100 0_ ‡a Arnaldur Indriðason, ‡d 1961-)
auth/249882	Tsunamier; SAO
auth/254498	Lagerlöf, Selma
auth/260334	(100 3_ ‡a Wallenberg, ‡c släkt) --> normalt bara som ämnesord
auth/280498	Tsunamier; barnämnesord
auth/297742	Oljetryck; SAOGF
auth/328892	(100 1_ ‡a Ramelov, Matthias, ‡d verksam 1660-)
auth/330247	(100 0_ ‡a Gideon ‡c (biblisk gestalt))
auth/345526	Metamorphoses av Ovidius Naso, Publius; namn/titel (verkspost)
auth/346221	(100 3_ ‡a Bernadotte, ‡c kungahus) --> normalt bara som ämnesord
auth/349968	Allegorier; SAOGF (Skon)
auth/74212	(100 1_ ‡a Mao, Zedong, ‡d 1893-1976)
auth/94541	(100 1_ ‡a Strindberg, August, ‡d 1849-1912)
auth/353616	Allmän genre/formterm saogf: Analys och tolkning
auth/245329	Skönlitterär genre/formterm (kod Skon) som ingår i saogf-listan: Biografiska romaner
auth/215816	Genre/formterm för periodika (kod NLT)som ingår i saogf-listan: Barntidningar
auth/323836	Genre/formterm för barn- och ungdomslitteratur (listkod barn) kommer inom kort att kodas om och ingå i saogf-listan enligt konstruktion ovan: Allåldersböcker
auth/283168	Genre/formterm för grafiskt material som ingår i TGM-listan (kod gmgpc//swe): Affischer (behöver synkroniseras/harmoniseras med existerande, t.ex. 365601)
auth/365601	Allmän genre/formterm som ingår i saogf-listan: Affischer
auth/167923	Jerusalem (kungariket 1099-1291)
auth/137977	International Workshop on Knowledge Representation meets Databases
auth/359324	Dreamhack
auth/337887	Woodstock
auth/121848	Kungl. biblioteket
auth/307262	Codex Gigas
auth/163435	Sverige
auth/173676	Stockholm
auth/215254	Göteborg
auth/152803	Lund
auth/355057	Medeltiden
auth/357848	Medeltiden (Tyskland)
auth/357833	1642-1660 Puritanska revolutionen
auth/355093	1914-1918 (första världskriget)
auth/222136	Ödessymfonin
auth/301182	Historia
auth/283867	Reseaffischer, har about.broader.prefLabel:Affischer
auth/283168	Affischer, har about.narrower.prefLabel:Reseaffischer
auth/271621	(uniform titel) Rävsagan (djurepos), med se från-hänvisning Mickel räv (djurepos)
auth/271438	(uniform titel) Reineke Fuchs
auth/271588	(uniform titel) Rävsagan
auth/271589	(uniform titel) Rævebogen
auth/271590	(uniform titel) Reinaert
auth/271591	(uniform titel) Reynard the Fox
auth/271592	(uniform titel) Roman de Renart
auth/350582	Markus Sköld
auth/262312	Järnebrand, Margareta, 1947-
auth/225964	Fossum, Karin
auth/350793	Deckare, saogf
auth/143787	Deckare, sao
auth/158278	Romaner
auth/147945	Historieforskning - historia,	[linked to by bib posts in this data set]
auth/375218	Långfilmer 	    		[linked to by bib posts in this data set]
auth/376822	Drama (film)			[linked to by bib posts in this data set]
auth/244847	Fordon				[linked to by bib posts in this data set]
auth/319968	Maskiner			[linked to by bib posts in this data set]
auth/347758	Ljudböcker saogf
auth/374342	Animerade filmer saogf
auth/44914	Carroll, Lewis, 1832-1898
auth/96337	Tenniel, John, Sir, 1820-1914
auth/176839	Barrie, J. M., 1860-1937
auth/329027	Ingpen, Robert, 1936- ill

bib/11279947	[Akademisk avhandling = Text,Monograph,Thesis] Neural correlates of individual differences in personality and intelligence
bib/16309110	[Bilder = ?,?,?] Julkalendern 2013
bib/14747945	[Datorspel (TV-spel) = Multimedia,Monograph,Game] Bioshock
bib/11773502	[Elektroniska resurser,Direktåtkomst = ?,?,?] Ritningsläsning
