SAB	Översättning
A(p)	Bokväsen och biblioteksväsen: periodika
A(x)	Bokväsen och biblioteksvsen: lexikon
A	Bokväsen och biblioteksväsen
A,u	okväsen och biblioteksväsen: för barn och ungdom
A:dd	Bokväsen och biblioteksväsen: metodlära
A:k.23	Bokväsen och biblioteksväsen: historia: antiken
A:k.38	Bokväsen och biblioteksväsen: historia: senmedeltiden ca 1300-1500
A:k.4	Bokväsen och biblioteksväsen: historia: nya tiden
A:oi	Bokväsen och biblioteksväsen: statistik
A-c	Bokväsen och biblioteksväsen: Sverige
A-c	Bokväsen och biblioteksväsen: Sverige
A-cz	Bokväsen och biblioteksväsen: Sverige: särskilda orter
A-da(p)	Bokväsen och biblioteksväsen: Danmark: periodika
A-da	Bokväsen och biblioteksväsen: Danmark
A-db	Bokväsen och biblioteksväsen: Norge
A-dc	Bokväsen och biblioteksväsen: Island
A-dd(p)	Bokväsen och biblioteksväsen: Finland: periodika
A-e(p)	Bokväsen och biblioteksväsen: Brittiska öarna (Storbritannien): periodika
A-e	Bokväsen och biblioteksväsen: Brittiska öarna (Storbritannien)
A-f	Bokväsen och biblioteksväsen: Mellaneuropa
A-fa(p)	Bokväsen och biblioteksväsen: Tyskland: periodika
A-fa	Bokväsen och biblioteksväsen: Tyskland
A-fb	Bokväsen och biblioteksväsen: Österrike
A-ga	Bokväsen och biblioteksväsen: Nederländerna
A-gb(x)	Bokväsen och biblioteksväsen: Belgien: lexikon
A-gb	Bokväsen och biblioteksväsen: Belgien
A-j	Bokväsen och biblioteksväsen: Frankrike
A-k	Bokväsen och biblioteksväsen: Spanien
A-m	Bokväsen och biblioteksväsen: Östeuropa
A-ma(p)	Bokväsen och biblioteksväsen: Ryssland: periodika
A-ma	Bokväsen och biblioteksväsen: Ryssland
A-mb(p)	Bokväsen och biblioteksväsen: Polen: periodika
A-mb	Bokväsen och biblioteksväsen: Polen
A-mcc(p)	Bokväsen och biblioteksväsen: Litauen: periodika
A-n	Bokväsen och biblioteksväsen: Balkanländerna
A-na	Bokväsen och biblioteksväsen: Rumänien
A-oa(p)	Bokväsen och biblioteksväsen: Främre Asien: periodika
A-oafi	Bokväsen och biblioteksväsen: Israel
A-p	Bokväsen och biblioteksväsen: Afrika
A-pa(p)	Bokväsen och biblioteksväsen: Nordafrika utom Egypten: periodika
A-pb(p)	Bokväsen och biblioteksväsen: Egypten och Sudan: periodika
A-pcda	Bokväsen och biblioteksväsen: Ghana
A-qa	Bokväsen och biblioteksväsen: Förenta staterna
Aa(k)	Bibliografi: kongresstryck
Aa(p)	Bibliografi: periodika
Aa(p)/D	Bibliografi: periodika: maskinläsbara datafiler
Aa	Bibliografi
Aa:b(k)	Bibliografi: forskning: kongresstryck
Aa:b(p)	Bibliografi: forskning: periodika
Aa:b(x)	Bibliografi: forskning: lexikon
Aa:b	Bibliografi: forskning
Aa:b	Bibliografi: forskning
Aa:bf	Bibliografi: institutioner
Aa:dd(k)	Bibliografi: metodlära: kongresstryck
Aa:dd(p)	Bibliografi: metodlära: periodika
Aa:dd	Bibliografi: metodlära
Aa:k	Bibliografi: historia
Aa:k.5	Bibliografi: historia: 1914-
Aa:k.6	Bibliografi: historia: 2000-
Aa:oi	Bibliografi: statistik
Aa:pu	Bibliografi: databehandling
Aa:t(k)	Bibliografi: matematik och statistisk metod: kongresstryck
Aa:t(p)	Bibliografi: matematik och statistisk metod: periodika
Aa:t(x)	Bibliografi: matematik och statistisk metod: lexikon
Aa:t	Bibliografi: matematik och statistisk metod
