ID fysisk,ID digital,benämning på data.kb.se,weburn pdf,datakbse pdf,reginaid
8417753,saknas,8417753.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8417753,https://data.kb.se/datasets/2016/05/suecia/8417753.pdf,001917864
8418927,saknas,8418927.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8418927,https://data.kb.se/datasets/2016/05/suecia/8418927.pdf,001918175
8419444,saknas,8419444.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8419444,https://data.kb.se/datasets/2016/05/suecia/8419444.pdf,001918360
8419393,saknas,8419393.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8419393,https://data.kb.se/datasets/2016/05/suecia/8419393.pdf,001918381
8421775,saknas,8421775.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8421775,https://data.kb.se/datasets/2016/05/suecia/8421775.pdf,001919277
8422118,saknas,8422118.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8422118,https://data.kb.se/datasets/2016/05/suecia/8422118.pdf,001919495
8422743,saknas,8422743.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8422743,https://data.kb.se/datasets/2016/05/suecia/8422743.pdf,001919772
8422705,saknas,8422705.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8422705,https://data.kb.se/datasets/2016/05/suecia/8422705.pdf,001919776
8423762,saknas,8423762.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8423762,https://data.kb.se/datasets/2016/05/suecia/8423762.pdf,001919965
8425479,saknas,8425479.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8425479,https://data.kb.se/datasets/2016/05/suecia/8425479.pdf,001920616
8425437,saknas,8425437.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8425437,https://data.kb.se/datasets/2016/05/suecia/8425437.pdf,001920624
8425426,saknas,8425426.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8425426,https://data.kb.se/datasets/2016/05/suecia/8425426.pdf,001920626
8426158,saknas,8426158.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8426158,https://data.kb.se/datasets/2016/05/suecia/8426158.pdf,001920767
8426063,saknas,8426063.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8426063,https://data.kb.se/datasets/2016/05/suecia/8426063.pdf,001920797
8425995,saknas,8425995.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8425995,https://data.kb.se/datasets/2016/05/suecia/8425995.pdf,001920826
8428116,saknas,8428116.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8428116,https://data.kb.se/datasets/2016/05/suecia/8428116.pdf,001921274
8427927,saknas,8427927.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8427927,https://data.kb.se/datasets/2016/05/suecia/8427927.pdf,001921331
8427839,saknas,8427839.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8427839,https://data.kb.se/datasets/2016/05/suecia/8427839.pdf,001921343
8427824,saknas,8427824.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8427824,https://data.kb.se/datasets/2016/05/suecia/8427824.pdf,001921345
8427797,saknas,8427797.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8427797,https://data.kb.se/datasets/2016/05/suecia/8427797.pdf,001921354
8428509,saknas,8428509.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8428509,https://data.kb.se/datasets/2016/05/suecia/8428509.pdf,001921545
8428442,saknas,8428442.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8428442,https://data.kb.se/datasets/2016/05/suecia/8428442.pdf,001921570
8428427,saknas,8428427.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8428427,https://data.kb.se/datasets/2016/05/suecia/8428427.pdf,001921573
8432464,saknas,8432464.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432464,https://data.kb.se/datasets/2016/05/suecia/8432464.pdf,001922254
8432445,saknas,8432445.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432445,https://data.kb.se/datasets/2016/05/suecia/8432445.pdf,001922256
8432420,saknas,8432420.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432420,https://data.kb.se/datasets/2016/05/suecia/8432420.pdf,001922265
8432338,saknas,8432338.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432338,https://data.kb.se/datasets/2016/05/suecia/8432338.pdf,001922282
8432842,saknas,8432842.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432842,https://data.kb.se/datasets/2016/05/suecia/8432842.pdf,001922343
8432808,saknas,8432808.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432808,https://data.kb.se/datasets/2016/05/suecia/8432808.pdf,001922345
8432799,saknas,8432799.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432799,https://data.kb.se/datasets/2016/05/suecia/8432799.pdf,001922355
8432745,saknas,8432745.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432745,https://data.kb.se/datasets/2016/05/suecia/8432745.pdf,001922365
8432726,saknas,8432726.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432726,https://data.kb.se/datasets/2016/05/suecia/8432726.pdf,001922369
8432666,saknas,8432666.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432666,https://data.kb.se/datasets/2016/05/suecia/8432666.pdf,001922385
8432635,saknas,8432635.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432635,https://data.kb.se/datasets/2016/05/suecia/8432635.pdf,001922389
