ID fysisk,ID digital,benämning på data.kb.se,benämning (2) på data.kb.se,weburn pdf,tif master,tif master (2),reginaid
8417753,saknas,"8417753,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8417753,"https://data.kb.se/datasets/2014/10/suecia/8417753,1.tif",,001917864
8418927,saknas,"8418927,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8418927,"https://data.kb.se/datasets/2014/10/suecia/8418927,1.tif",,001918175
8419444,saknas,"8419444,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8419444,"https://data.kb.se/datasets/2014/10/suecia/8419444,1.tif",,001918360
8419393,saknas,"8419393,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8419393,"https://data.kb.se/datasets/2014/10/suecia/8419393,1.tif",,001918381
8421775,saknas,"8421775,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8421775,"https://data.kb.se/datasets/2014/10/suecia/8421775,1.tif",,001919277
8422118,saknas,"8422118,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8422118,"https://data.kb.se/datasets/2014/10/suecia/8422118,1.tif",,001919495
8422743,saknas,"8422743,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8422743,"https://data.kb.se/datasets/2014/10/suecia/8422743,1.tif",,001919772
8422705,saknas,"8422705,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8422705,"https://data.kb.se/datasets/2014/10/suecia/8422705,1.tif",,001919776
8423762,saknas,"8423762,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8423762,"https://data.kb.se/datasets/2014/10/suecia/8423762,1.tif",,001919965
8425479,saknas,"8425479,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8425479,"https://data.kb.se/datasets/2014/10/suecia/8425479,1.tif",,001920616
8425437,saknas,"8425437,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8425437,"https://data.kb.se/datasets/2014/10/suecia/8425437,1.tif",,001920624
8425426,saknas,"8425426,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8425426,"https://data.kb.se/datasets/2014/10/suecia/8425426,1.tif",,001920626
8426158,saknas,"8426158,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8426158,"https://data.kb.se/datasets/2014/10/suecia/8426158,1.tif",,001920767
8426063,saknas,"8426063,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8426063,"https://data.kb.se/datasets/2014/10/suecia/8426063,1.tif",,001920797
8425995,saknas,"8425995,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8425995,"https://data.kb.se/datasets/2014/10/suecia/8425995,1.tif",,001920826
8428116,saknas,"8428116,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8428116,"https://data.kb.se/datasets/2014/10/suecia/8428116,1.tif",,001921274
8427927,saknas,"8427927,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8427927,"https://data.kb.se/datasets/2014/10/suecia/8427927,1.tif",,001921331
8427839,saknas,"8427839,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8427839,"https://data.kb.se/datasets/2014/10/suecia/8427839,1.tif",,001921343
8427824,saknas,"8427824,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8427824,"https://data.kb.se/datasets/2014/10/suecia/8427824,1.tif",,001921345
8427797,saknas,"8427797,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8427797,"https://data.kb.se/datasets/2014/10/suecia/8427797,1.tif",,001921354
8428509,saknas,"8428509,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8428509,"https://data.kb.se/datasets/2014/10/suecia/8428509,1.tif",,001921545
8428442,saknas,"8428442,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8428442,"https://data.kb.se/datasets/2014/10/suecia/8428442,1.tif",,001921570
8428427,saknas,"8428427,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8428427,"https://data.kb.se/datasets/2014/10/suecia/8428427,1.tif",,001921573
8432464,saknas,"8432464,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432464,"https://data.kb.se/datasets/2014/10/suecia/8432464,1.tif",,001922254
8432445,saknas,"8432445,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432445,"https://data.kb.se/datasets/2014/10/suecia/8432445,1.tif",,001922256
8432420,saknas,"8432420,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432420,"https://data.kb.se/datasets/2014/10/suecia/8432420,1.tif",,001922265
8432338,saknas,"8432338,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432338,"https://data.kb.se/datasets/2014/10/suecia/8432338,1.tif",,001922282
8432842,saknas,"8432842,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432842,"https://data.kb.se/datasets/2014/10/suecia/8432842,1.tif",,001922343
8432808,saknas,"8432808,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432808,"https://data.kb.se/datasets/2014/10/suecia/8432808,1.tif",,001922345
8432799,saknas,"8432799,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432799,"https://data.kb.se/datasets/2014/10/suecia/8432799,1.tif",,001922355
8432745,saknas,"8432745,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8432745,"https://data.kb.se/datasets/2014/10/suecia/8432745,1.tif",,001922365
