hubTitle	entity
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet] · kur
Pesikta de-Rav Kahana	Pesikta de-Rav Kahana · eng
Bibeln	Bibeln. · Segond. · 1935 · fre
Bibeln. Jesaja	Bibeln. · [Jesaja.] · swe
Bibeln. Moseboken 1. Urval	Bible. · [O.T., Genesis.] · Selections. · Latin and Hebrew.
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1540 · heb
Bibeln. Job	Bibeln. · [Job.] · 1868 · heb
Bibeln. Moseboken 1	Bibeln. · [Moseboken 1.] · ara
Bibeln	Bibeln. · 1613 · eng
Talmud Yerushalmi. Sukkah	Talmud Yerushalmi. · [Sukkah.] · ger
Bibeln. Apokryferna	Bibeln. · [Apokryferna. Engelska]
Koranen. Urval	Koranen. · [urval.]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1965 · swe
Bibeln. Moseboken 1	Bible. · [O.T., Genesis., Lookup.] · eng
Egils saga Skallagrímssonar	Egils saga Skallagrimssonar. · eng
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1864 · swe
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · Jewish Publication Society. · 2015. · eng
Bibeln. Moseböckerna. Urval	Bibeln. · [Moseböckerna.] · Urval. · Samaritansk. · 1780 · ara
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1551 · fin
Bibeln. Jeremia	Bibeln. · [Jeremia. Hebreiska]
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · lez
Reinaert	Reinaert. · Urval
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · 1865 · Polyglott.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · 1915 · swe
Esra 4	Esra 4. · Arabiska & Engelska
Bibeln. Historiska böckerna	Bible. · [O.T., Historical Books., Wells.] · eng
Koranen. Urval	Koranen. Svenska. · Urval
Palmerín de Oliva	Palmerín de Oliva. · [Part 1.] · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1626 · lat
Bibeln. Jesaja	Bibeln. · [Jesaja.] · Brandes · dan
Bibeln	Bibeln. · Gezelius. · 1713 Merckell. · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1813 · gle
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1896 · Polyglott.
Purana. Padmapurāṇa	Purāṇa. · [Padmapurāṇa]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1945 · cze
Tosefta. Beẓah	Tosefta. · [Yom Tov. Tyska & Hebreiska]
Bibeln. Hesekiel	Bibeln. · [Nya Testamentet.] · 1818 · crp
Bibeln	Bibeln · 1610 · eng
Pesikta de-Rav Kahana	Pesikta de-Rav Kahana. Engelska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1991 · rus
