bibid dubblett radera	bibid korrekt post	SPI NR	PostNR
7kp6hd3k566hzl32	117117	(SPI)931098	11
8lq7jf426t049x1m	21434080	(SPI)930794	21
cptbmj899r6qjf8j	346002	(SPI)930402	25
p15nzvl3mmmd3ckj	2cxddnxj01vp6jcz	(SPI)930000	39
jv0hspf0gcr699fx	p0jmmgvfm6fknk7r	(SPI)929989	41
gsxfqnfld9ngrdqg	6hz1w8x84nf5jvm9	(SPI)929809	77
gsxfqnfxd5lcf8l4	13598238	(SPI)929449	87
n04mxvm9lv0jdzpd	gr8mb991dkpglhn7	(SPI)929332	93
p15nzwndmpfdg1bt	8255074	(SPI)929331	95
htzgrphffhtq1mdk	122210	(SPI)929272	103
4gl3db472lffhwq6	93903	(SPI)929180	109
t59s31t4r5v9bdjs	256556	(SPI)929038	117
v6bt42vhs3px007x	9962542	(SPI)928791	129
dqvcnlfhbr2zjt50	v5l8djp9sbh2dzj4	(SPI)928469	145
n04mxvp5l38d1dfg	17630639	(SPI)928150	159
v6bt42x0sgvtjp0b	jt8pjg0qgb6nwwgp	(SPI)928035	179
mz3lwtptk3xn3nbt	11657059	(SPI)927996	181
jv0hsqlvggzbqjp1	11885592	(SPI)927967	185
2dj1b84j0xdqfv6t	17596831	(SPI)927939	189
bns9ljdw8gj90rkf	20010745	(SPI)927920	193
kw1jtrm8hq84m03v	253155	(SPI)927671	197
5hm4fc703mpl87vv	1235077	(SPI)927612	201
v6bt42xqslhrdk0l	908879	(SPI)927596	203
frwdpmkhcrc9fwv4	11891055	(SPI)927388	235
4gl3db8b24dfljcn	mxf837qwkjp9gh6k	(SPI)927319	239
lx2kvsqxjjcqtd0d	12466703	(SPI)927271	243
9mr8khfp7x2f7dwk	14978365	(SPI)927262	245
s48r20x7qlb98t42	x7rfzr20vkb5vnnv	(SPI)927249	247
5hm4fcbh3d9zmjpq	7423009	(SPI)926863	273
p15nzwv4m7zcqt8h	gr51z0brdb632dkj	(SPI)926751	277
kw1jtrqbhs78tslh	10650849	(SPI)926672	287
2dj1b8830p8r436j	5g0mv98135zkk1l6	(SPI)926613	295
4gl3dbbf2sljl73d	16388271	(SPI)926533	305
0bgz866hxgj2rgf0	cng82xzv93vc6td5	(SPI)926483	313
frwdpmm2cn5f2lrq	cn22wg609dlz3hsf	(SPI)926451	317
0bgz8672x8dkzq7m	12299755	(SPI)926197	329
9mr8khjl7ndsm6sh	1bqldd8hzmc5xg0h	(SPI)926112	337
x8dw645dvgrrw29t	z8nfgr3twt230jc7	(SPI)925969	343
s48r2022qdldvs38	699274	(SPI)925765	373
z9fx757nwhnpp3wx	320829	(SPI)925493	389
4gl3dbf42wrlp2kp	1881488	(SPI)925448	397
w7cv536ztrtss8zz	754413	(SPI)925407	401
dqvcnlp9bbhjlrhr	11676138	(SPI)925214	429
mz3lwtzskpvd8qhr	12320891	(SPI)925148	439
s48r2042qpffxfc5	18720698	(SPI)925075	443
4gl3dbgs2vq5fjcw	nzbj1l6cljf1nqmb	(SPI)924972	457
8lq7jgl263x56bpt	11888909	(SPI)924936	463
2dj1b8f20qm4mt5p	11816871	(SPI)924895	471
dqvcnlrmbfjg2sj4	5gs2l3pt3r27cn01	(SPI)924800	479
z9fx75b8w08rt2k4	8631701	(SPI)924777	481
v6bt427rs3dp2x6v	cn1v4k979p79rgzh	(SPI)924474	499
v6bt4282sfssxszl	8181459	(SPI)924375	507
dqvcnlstbhzgj278	cn19ffvj991svhmj	(SPI)924184	515
x8dw64bgv5r4vhzj	1165640	(SPI)924180	519
kw1jtrz5h255st73	8181430	(SPI)924128	521
7kp6hfm35d3630vp	19466937	(SPI)923807	531
n04mxv2kljs291fp	3101420	(SPI)923769	533
8lq7jgpb6lgll68q	2cpctktl0dndzm6q	(SPI)923723	539
q26p0x5tnhrvfw00	3dqdv1w81z3dql95	(SPI)923718	541
p15nzw4zmxvmggs6	16585284	(SPI)923655	547
htzgrpxwf10gg8w8	12300308	(SPI)923641	553
r37q1z66pj52d7kb	18597811	(SPI)923586	555
6jn5gdmt4fpdb81f	501771	(SPI)923133	563
r37q1z7vphp59wdz	z7vh4jptwwjldx8f	(SPI)922956	583
8lq7jgqj6zz0jbrq	10280795	(SPI)922901	589
w7cv53c7tgzml98l	19355548	(SPI)922873	593
htzgrpzxfh3xrqs2	12300213	(SPI)922828	597
dqvcnlwcbbvfd5hd	663545	(SPI)922725	619
t59s31btrvkxwx5v	w6j3ms8gtp46s8l3	(SPI)922658	621
6jn5gdp84twhj8tc	17026513	(SPI)922636	623
kw1jtr2nhvzf3d0b	x7jf9ww8vw5s0bmr	(SPI)922580	625
bns9ljt686brgdgm	17605681	(SPI)922285	655
1ch097k0z1rbm6f1	4fsv67rp2hpt2rgz	(SPI)922249	659
6jn5gdqf4clzszk0	8255111	(SPI)922196	669
0bgz86jbx1ss5h1p	478021	(SPI)922143	675
x8dw64hxvph3fchz	11942893	(SPI)921969	703
t59s31d1rm3k8cpk	19358116	(SPI)921921	709
dqvcnlzvbv6jw712	x7k05vqjvfxgrgpp	(SPI)921749	719
z9fx75jqwsv8zxpp	fq356xjhcz2j7tx5	(SPI)921614	733
kw1jtr4dhk20f0kk	p09znd8bmbtxbzkk	(SPI)921607	735
5hm4fcr832ft68xk	141729	(SPI)921442	745
n04mxv82lmc6np1p	11301711	(SPI)921346	757
htzgrp30fmtz32c1	cnzhtxl79r5xk5pr	(SPI)921330	761
v6bt42gdstcg3j7b	z8k3d0c1w3bkfwd9	(SPI)921307	763
mz3lwt78kpsdfx4d	hs3mw25qfml2278k	(SPI)921305	767
0bgz86lnxccddccl	p09t34l6mlp8pr1r	(SPI)921302	769
frwdpm3vct7lls75	2053471	(SPI)920188	841
t59s31h9rslmk6mr	19510034	(SPI)920139	843
9mr8khzt762jpgbk	10897857	(SPI)920088	845
n04mxvcll52tz7ts	jt3qntw8gcldp6db	(SPI)919876	863
p15nzwdrmlhs9dcq	x7h4045jvxf6f15n	(SPI)919805	869
x8dw64m4vnf805rx	13950575	(SPI)919723	875
gsxfqn5qdnfz3b3v	3267893	(SPI)919704	877
s48r20h3qcg7xm42	1976630	(SPI)919703	879
9mr8kh0n7d5tvw01	3267897	(SPI)919701	881
mz3lwtb4kwrfhfd5	17596532	(SPI)919586	887
9mr8kh027qxqtrdl	1bkrbs61zgr97hf8	(SPI)919289	899
p15nzwdhmf38095p	cnw3np0v9d3dlv48	(SPI)919288	901
mz3lwtcnkrk01nrg	8ks0gfhh6vml5fz4	(SPI)919284	907
