teknik och teknologier	Teknik	2	
humaniora	Humaniora och konst	6	
humanities	Humanities and the Arts	6	
hälsovetenskaper	Hälsovetenskap	303	
data- och informationsvetenskap	Data- och informationsvetenskap (Datateknik)	102	
biologiska vetenskaper	Biologi	106	Matches number of docs with ”biological sciences”
general literature studies	General Literary studies	60203	
computer and information science	Computer and Information Sciences	102	
medicinska grundvetenskaper	Medicinska och farmaceutiska grundvetenskaper	301	
computer science	Computer Sciences 	10201	LOL
agricultural science, forestry and fisheries	Agriculture, Forestry and Fisheries	401	
medical biotechnology (with a focus on cell biology (including stem cell biology), molecular biology, microbiology, biochemistry or biopharmacy)	Medical Biotechnology (focus on Cell Biology (incl. Stem Cell Biology), Molecular Biology, Microbiology, Biochemistry or Biopharmacy)	30401	
medicinsk bioteknologi (med inriktning mot cellbiologi (inklusive stamcellsbiologi), molekylärbiologi, mikrobiologi, biokemi eller biofarmaci)	Medicinsk bioteknologi (inriktn. mot cellbiologi (inkl. stamcellsbiologi), molekylärbiologi, mikrobiologi, biokemi eller biofarmaci)	30401	
obstetrics, gynecology and reproductive medicine	Obstetrics, Gynaecology and Reproductive Medicine	30220	
other medical sciences	Other Medical and Health Sciences	305	
jämförande språkvetenskap och lingvistik	Jämförande språkvetenskap och allmän lingvistik	60201	
agricultural sciences	Agricultural Science	40101	
lantbruksvetenskaper	Jordbruksvetenskap	40101	Matches number of docs with ”agricultural sciences”
nano technology	Nano-technology	253	
political science (excluding public administration studies and globalization studies)	Political Science (excluding Public Administration Studies and Globalisation Studies)	50601	s/z
environmental health and occupational health	Occupational Health and Environmental Health	30303	
miljömedicin och yrkesmedicin	Arbetsmedicin och miljömedicin	30303	
other medical sciences not elsewhere specified	Other Medical and Health Sciences not elsewhere specified	30599	
farmaceutisk vetenskap	Farmaceutiska vetenskaper	30101	
oto-rino-laryngologi	Oto-rhino-laryngologi	30218	
oceanografi, hydrologi, vattenresurser	Oceanografi, hydrologi och vattenresurser 	10509	
oceanography, hydrology, water resources	Oceanography, Hydrology and Water Resources	10509	
allmän medicin	Allmänmedicin	30224	number of ”allmän medicin” == number of ”family medicine” which is another name for ”general practice” == ”allmänmedicin”
family medicine	General Practice	30224	
orthopedics	Orthopaedics	30211	
tribologi	Tribologi (ytteknik omfattande friktion, nötning och smörjning)	20308	
tribology	Tribology (interacting surfaces including Friction, Lubrication and Wear)	20308	
gerontology, specializing in medical and health sciences	Gerontology, specialising in Medical and Health Sciences	30502	s/z
annan medicinsk grundvetenskap	Andra medicinska och farmaceutiska grundvetenskaper	30199	
medicinska material och protesteknik	Medicinsk material- och protesteknik	20602	
behavioral sciences biology	Behavioural Sciences Biology	10613	gb/us
fysisk geografi	Naturgeografi	10507	”Naturgeografi” == ”Physical Geography”
globalization studies	Globalisation Studies	50603	
genetics and breeding	Animal and Dairy Science	40201	Including ”Genetics and Breeding”
genetik och förädling	Husdjursvetenskap	40201	
samhällsvetenskap.	Samhällsvetenskap	5	
filosofi, etik och religion.	Filosofi, etik och religion	603	
juridik.	Juridik	505	
law.	Law	505	
mancvufacturing, surface and joining technology	Manufacturing, Surface and Joining Technology	20505	
religionsvetenskap.	Religionsvetenskap	60303	
social sciences.	Social Sciences	5	
övriga andra lantbruksrelaterade vetenskaper	Övrig annan lantbruksvetenskap	40599	
