	Libris	Titel	Fil namn	Äldre länk	
	http://libris.kb.se/bib/21525905	2014 års överenskommelse inom området psykisk ohälsa - bedömningskriterier och anvisningar för grundkrav och prestationsmål	2014-ars-overenskommelse-bedomningskriterier-psykisk-ohalsa.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/2014-ars-overenskommelse-bedomningskriterier-psykisk-ohalsa.pdf	
	http://libris.kb.se/bib/18164417	2015 års överenskommelse inom området psykisk ohälsa - bedömningskriterier och anvisningar för grundkrav och prestationsmål	2015-1-47.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19700/2015-1-47.pdf	
	http://libris.kb.se/bib/10648763	A finger on the pulse	200311816AFingeronthePulse.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/4F18FB92-77AA-412E-9F73-46402008C290/3533/200311816AFingeronthePulse.pdf	
	http://libris.kb.se/bib/9197367	A finger on the pulse :	2003-118-16.pdf	http://www.socialstyrelsen.se/publikationer2003/2003-118-16.pdf	
	http://libris.kb.se/bib/11358542	A new profession is born	200812622.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/CA87994A-4C53-43D3-98DD-841F65D5AECD/12823/200812622.pdf	
	http://libris.kb.se/bib/11358697	Aborter 2006	2007-42-11_20074211.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9320/2007-42-11_20074211.pdf	
	http://libris.kb.se/bib/11358173	Aborter 2007	2008-42-4_2008424_rev2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8872/2008-42-4_2008424_rev2.pdf	
	http://libris.kb.se/bib/22173094	Aborter 2012	statistik-aborter-2012.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/statistik-aborter-2012.pdf	
	http://libris.kb.se/bib/10650870	Aborter.	1999-42-3_9942003.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/12250/1999-42-3_9942003.pdf	
	http://libris.kb.se/bib/21083064	Abortstatistik 2012 Korrigerad	Abortstatistik-2012-Korrigerad.xls	http://www.socialstyrelsen.se/SiteCollectionDocuments/Abortstatistik-2012-Korrigerad.xls	
	http://libris.kb.se/bib/18164545	Abortstatistik 2013	statistik-aborter-2013.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/statistik-aborter-2013.pdf	
	http://libris.kb.se/bib/8432425	ADHD hos barn och vuxna	2002-110-16.pdf	http://www.socialstyrelsen.se/publikationer2002/2002-110-16.pdf	
	http://libris.kb.se/bib/11607074	Adoption	2009-101-5_20091015.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8299/2009-101-5_20091015.pdf	
	http://libris.kb.se/bib/11358180	Adoption :	2008-101-5_20081015_rev.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8583/2008-101-5_20081015_rev.pdf	
	http://libris.kb.se/bib/22128060	Aktuellt om barn och unga från Socialstyrelsen	aktuellt-barn-och-familj.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/aktuellt-barn-och-familj.pdf	
	http://libris.kb.se/bib/20216569	Alla kan falla - vykort Balansera mera	2017-1-17.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20465/2017-1-17.pdf	
	http://libris.kb.se/bib/17223332	Amning och föräldrars rökvanor - Barn födda 2012		Länk från Libris saknas	
	http://libris.kb.se/bib/11767205	Analys av effektivitet	2009-126-31_200912631.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8453/2009-126-31_200912631.pdf	
	http://libris.kb.se/bib/11767336	Analys, bedömning och beslut i utredningar enligt BBIC	2009-126-75_200912675_rev.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8499/2009-126-75_200912675_rev.pdf	
	http://libris.kb.se/bib/10647093	Anhörigas röster	2005-131-1_20051311.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10149/2005-131-1_20051311.pdf	
	http://libris.kb.se/bib/9797417	Anhörigas röster :	2005-131-1_20051311.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10149/2005-131-1_20051311.pdf	
