Libris	Titel	Fil namn	Äldre länk	Ny länk
http://libris.kb.se/bib/7264219	Flygplansbranden i Manchester den 22 augusti 1985 /	1991-3-14.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/14561/1991-3-14.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=1991-3-14
http://libris.kb.se/bib/8372077	Klassifikation av åtgärder inom primärvård 1998.	1998-4-1.pdf	http://www.socialstyrelsen.se/publikationer1998/1998-4-1.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=1998-4-1
http://libris.kb.se/bib/10651114	Hjärtinfarkter ...	1998-42-6_9842006.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/12606/1998-42-6_9842006.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=1998-42-6
http://libris.kb.se/bib/10650888	Amning av barn födda ...	1999-42-1_9942001.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/12245/1999-42-1_9942001.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=1999-42-1
http://libris.kb.se/bib/10650880	Amning av barn födda ...	1999-42-10_9942010.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/12246/1999-42-10_9942010.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=1999-42-10
http://libris.kb.se/bib/10650865	Aborter.	1999-42-11_9942011.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/12247/1999-42-11_9942011.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=1999-42-11
http://libris.kb.se/bib/10650857	Aborter.	1999-42-5_9942005.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/12252/1999-42-5_9942005.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=1999-42-5
http://libris.kb.se/bib/10650909	Familjerätt.	1999-44-4_9944004.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/12262/1999-44-4_9944004.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=1999-44-4
http://libris.kb.se/bib/2353277	Insatser för barn och unga.	1999-44-7.pdf	http://www.socialstyrelsen.se/publikationer1999/1999-44-7.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=1999-44-5
http://libris.kb.se/bib/10650921	Insatser för barn och unga.	1999-44-7_9944007.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/12265/1999-44-7_9944007.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=1999-44-5
