gfTerm	scheme	count	example	replaceWithGenreForm	moveToSubject
https://id.kb.se/term/sao/Sk%C3%B6nlitteratur	https://id.kb.se/term/sao	807	https://libris.kb.se/8sltqh7l1j2mg8z#it	https://id.kb.se/term/saogf/Sk%C3%B6nlitteratur	
https://id.kb.se/term/sao/Piano	https://id.kb.se/term/sao	638	https://libris.kb.se/4ngks61g485g2bw#it	https://id.kb.se/term/saogf/Piano	
https://id.kb.se/term/sao/Romaner	https://id.kb.se/term/sao	529	https://libris.kb.se/m5z10dpz3nf4ms7#it	https://id.kb.se/term/saogf/Romaner	
https://id.kb.se/term/sao/Deckare	https://id.kb.se/term/sao	434	https://libris.kb.se/2fccwt0n0ptcr82f#it	https://id.kb.se/term/saogf/Deckare	
https://id.kb.se/term/sao/Rock	https://id.kb.se/term/sao	433	https://libris.kb.se/p712m8311gj2bcc#it	https://id.kb.se/term/saogf/Rock	
https://id.kb.se/term/sao/Biografier	https://id.kb.se/term/sao	361	https://libris.kb.se/m5z7rmqz4gbs77c#it	https://id.kb.se/term/saogf/Biografier	
https://id.kb.se/term/sao/Noveller	https://id.kb.se/term/sao	359	https://libris.kb.se/fzr74q2r4f0h15t#it	https://id.kb.se/term/saogf/Noveller	
https://id.kb.se/term/sao/R%C3%B6st%20och%20piano	https://id.kb.se/term/sao	271	https://libris.kb.se/4nghbzhg3z44vhq#it	https://id.kb.se/term/saogf/R%C3%B6st%20och%20piano	
https://id.kb.se/term/sao/Operor	https://id.kb.se/term/sao	222	https://libris.kb.se/7rknwfbk3mcsdqv#it	https://id.kb.se/term/saogf/Operor	
https://id.kb.se/term/sao/Musikalier	https://id.kb.se/term/sao	220	https://libris.kb.se/xg89k6482737lhg#it	https://id.kb.se/term/saogf/Musikalier	
https://id.kb.se/term/sao/Utst%C3%A4llningskataloger	https://id.kb.se/term/sao	214	https://libris.kb.se/h1t4bstt2qjgfbs#it	https://id.kb.se/term/saogf/Utst%C3%A4llningskataloger	
https://id.kb.se/term/sao/Bl%C3%A5sorkester	https://id.kb.se/term/sao	186	https://libris.kb.se/0jbpfjpb1xczf9v#it	https://id.kb.se/term/saogf/Bl%C3%A5sorkester	
https://id.kb.se/term/sao/Modern%20jazz	https://id.kb.se/term/sao	184	https://libris.kb.se/xg893ts81m2ctpt#it	https://id.kb.se/term/saogf/Modern%20jazz	
https://id.kb.se/term/sao/Tecknade%20serier	https://id.kb.se/term/sao	184	https://libris.kb.se/dxq3b2tq3gb193f#it	https://id.kb.se/term/gmgpc/swe/Tecknade%20serier	
https://id.kb.se/term/sao/Pop	https://id.kb.se/term/sao	168	https://libris.kb.se/0jbfmlpb2hx7mfd#it	https://id.kb.se/term/saogf/Pop	
https://id.kb.se/term/sao/Jazz	https://id.kb.se/term/sao	167	https://libris.kb.se/zh9j2jz945snkh8#it	https://id.kb.se/term/saogf/Jazz	
https://id.kb.se/term/sao/Violin	https://id.kb.se/term/sao	159	https://libris.kb.se/9tmn5vxm31z2b30#it	https://id.kb.se/term/saogf/Violin	
https://id.kb.se/term/sao/Poesi	https://id.kb.se/term/sao	157	https://libris.kb.se/fzrv28br0qjkml9#it	https://id.kb.se/term/saogf/Poesi	
https://id.kb.se/term/sao/L%C3%A4romedel	https://id.kb.se/term/sao	157	https://libris.kb.se/bpv740rx898vxk3z#it	https://id.kb.se/term/saogf/L%C3%A4romedel	
https://id.kb.se/term/sao/Orkester	https://id.kb.se/term/sao	149	https://libris.kb.se/1kcgphwc534jfgf#it	https://id.kb.se/term/saogf/Orkester	
https://id.kb.se/term/sao/Kataloger	https://id.kb.se/term/sao	147	https://libris.kb.se/7rkqt79k400b1kl#it	https://id.kb.se/term/saogf/Kataloger	
https://id.kb.se/term/sao/Konferenser	https://id.kb.se/term/sao	145	https://libris.kb.se/r82tbbk31ljhp9c#it	https://id.kb.se/term/saogf/Konferenser	
https://id.kb.se/term/sao/Blandad%20k%C3%B6r	https://id.kb.se/term/sao	145	https://libris.kb.se/4nghvpcg2hm2rbg#it	https://id.kb.se/term/saogf/Blandad%20k%C3%B6r	
https://id.kb.se/term/sao/Symfonier	https://id.kb.se/term/sao	142	https://libris.kb.se/g0sv3gms0cvrrpg#it	https://id.kb.se/term/saogf/Symfonier	
https://id.kb.se/term/sao/Tv-spel	https://id.kb.se/term/sao	134	https://libris.kb.se/j2vzpstv1jz80d7#it	https://id.kb.se/term/saogf/Datorspel	
https://id.kb.se/term/sao/Bilderb%C3%B6cker	https://id.kb.se/term/sao	119	https://libris.kb.se/vd670q962d4zg5n#it	https://id.kb.se/term/barngf/Bilderb%C3%B6cker	
https://id.kb.se/term/sao/Thrillers	https://id.kb.se/term/sao	118	https://libris.kb.se/g0ssvtks3l7664q#it	https://id.kb.se/term/saogf/Thrillers	
https://id.kb.se/term/sao/Storbandsjazz	https://id.kb.se/term/sao	116	https://libris.kb.se/0jbcvz2b5srlg78#it	https://id.kb.se/term/saogf/Storbandsjazz	
https://id.kb.se/term/sao/Icke-v%C3%A4sterl%C3%A4ndska%20kulturers%20musik	https://id.kb.se/term/sao	112	https://libris.kb.se/zh9bwrb922chdsz#it	https://id.kb.se/term/saogf/Icke-v%C3%A4sterl%C3%A4ndska%20kulturers%20musik	
https://id.kb.se/term/sao/Dramatik	https://id.kb.se/term/sao	109	https://libris.kb.se/bvn17rdn01hr5tp#it	https://id.kb.se/term/saogf/Dramatik	
https://id.kb.se/term/sao/Fl%C3%B6jt	https://id.kb.se/term/sao	108	https://libris.kb.se/r935dp2314zprj7#it	https://id.kb.se/term/saogf/Fl%C3%B6jt	
https://id.kb.se/term/sao/Gitarr	https://id.kb.se/term/sao	106	https://libris.kb.se/q82ffmh25hx327v#it	https://id.kb.se/term/saogf/Gitarr	
https://id.kb.se/term/sao/S%C3%A5nger	https://id.kb.se/term/sao	97	https://libris.kb.se/dxqr843q1p5fcfj#it	https://id.kb.se/term/saogf/S%C3%A5nger	
https://id.kb.se/term/sao/Str%C3%A5kkvartetter	https://id.kb.se/term/sao	92	https://libris.kb.se/vd6k80g63hzbvjb#it	https://id.kb.se/term/saogf/Str%C3%A5kkvartetter	
https://id.kb.se/term/sao/Schlager	https://id.kb.se/term/sao	91	https://libris.kb.se/j2v1vzzv0d8sgnv#it	https://id.kb.se/term/saogf/Schlager	
https://id.kb.se/term/sao/Lexikon	https://id.kb.se/term/sao	90	https://libris.kb.se/zh9qz4j93crd643#it	https://id.kb.se/term/saogf/Lexikon	
https://id.kb.se/term/sao/Orkestermusik	https://id.kb.se/term/sao	88	https://libris.kb.se/k3w40q2w4tzgsnb#it	https://id.kb.se/term/saogf/Orkester	
https://id.kb.se/term/sao/Konstn%C3%A4rlig%20dans	https://id.kb.se/term/sao	87	https://libris.kb.se/l4xzfjzx380tt6q#it		x
https://id.kb.se/term/sao/Sonater	https://id.kb.se/term/sao	86	https://libris.kb.se/9tmn5vxm31z2b30#it	https://id.kb.se/term/saogf/Sonater	
https://id.kb.se/term/sao/Sviter	https://id.kb.se/term/sao	84	https://libris.kb.se/q82ffmh25hx327v#it	https://id.kb.se/term/saogf/Sviter	
https://id.kb.se/term/sao/Sj%C3%A4lvbiografier	https://id.kb.se/term/sao	82	https://libris.kb.se/zg8wkk6934sr0m0#it	https://id.kb.se/term/saogf/Sj%C3%A4lvbiografier	
https://id.kb.se/term/sao/Artursagan	https://id.kb.se/term/sao	82	https://libris.kb.se/cvnbks7p4qwmch5#it	https://id.kb.se/term/saogf/Artursagan	
https://id.kb.se/term/sao/Singer%2Fsongwriters	https://id.kb.se/term/sao	79	https://libris.kb.se/dxqtz3vq437gwxq#it	https://id.kb.se/term/saogf/Singer%2Fsongwriters	
https://id.kb.se/term/sao/Filmmusik	https://id.kb.se/term/sao	78	https://libris.kb.se/l4x2n2mx1kz2b4c#it	https://id.kb.se/term/saogf/Filmmusik	
https://id.kb.se/term/sao/Violoncell	https://id.kb.se/term/sao	78	https://libris.kb.se/r93dgs931ns43kl#it	https://id.kb.se/term/saogf/Violoncell	
https://id.kb.se/term/sao/Salongsorkester	https://id.kb.se/term/sao	77	https://libris.kb.se/7rkl5t3k39fp4wr#it	https://id.kb.se/term/saogf/Salongsorkestrar	
https://id.kb.se/term/sao/Kokb%C3%B6cker	https://id.kb.se/term/sao	76	https://libris.kb.se/vd6987w60z79xxw#it	https://id.kb.se/term/saogf/Kokb%C3%B6cker	
https://id.kb.se/term/sao/Popul%C3%A4rmusik	https://id.kb.se/term/sao	75	https://libris.kb.se/0jbfmlpb2hx7mfd#it	https://id.kb.se/term/saogf/Popul%C3%A4rmusik	
https://id.kb.se/term/sao/Heavy%20metal	https://id.kb.se/term/sao	74	https://libris.kb.se/g0sw4v1s2lv47zv#it	https://id.kb.se/term/saogf/Heavy%20metal	
https://id.kb.se/term/sao/Verksamhetsber%C3%A4ttelser	https://id.kb.se/term/sao	74	https://libris.kb.se/q828x0m2132bw0c#it	https://id.kb.se/term/saogf/Verksamhetsber%C3%A4ttelser	
https://id.kb.se/term/sao/K%C3%A5serier	https://id.kb.se/term/sao	73	https://libris.kb.se/5phvstwh1g39lc8#it	https://id.kb.se/term/saogf/K%C3%A5serier	
https://id.kb.se/term/sao/V%C3%A4sterl%C3%A4ndsk%20folkmusik	https://id.kb.se/term/sao	71	https://libris.kb.se/n6021d300flfghl#it	https://id.kb.se/term/saogf/V%C3%A4sterl%C3%A4ndsk%20folkmusik	
https://id.kb.se/term/sao/Reggae	https://id.kb.se/term/sao	70	https://libris.kb.se/p714f84154fm4vr#it	https://id.kb.se/term/saogf/Reggae	
https://id.kb.se/term/sao/Pianomusik	https://id.kb.se/term/sao	70	https://libris.kb.se/6qjwtrvj2c0bthg#it	https://id.kb.se/term/saogf/Piano	
https://id.kb.se/term/sao/H%C3%A5rdrock	https://id.kb.se/term/sao	69	https://libris.kb.se/7rklklkk1tp7nrz#it	https://id.kb.se/term/saogf/H%C3%A5rdrock	
https://id.kb.se/term/sao/Orgel	https://id.kb.se/term/sao	67	https://libris.kb.se/k3wzx66w10128kh#it	https://id.kb.se/term/saogf/Orgel	
https://id.kb.se/term/sao/Humor	https://id.kb.se/term/sao	66	https://libris.kb.se/h0sshgft391jxlq#it	https://id.kb.se/term/saogf/Humor	
https://id.kb.se/term/sao/Visor	https://id.kb.se/term/sao	65	https://libris.kb.se/k2vrbbxw3bvx7rq#it	https://id.kb.se/term/saogf/Visor	
https://id.kb.se/term/sao/Reseskildringar	https://id.kb.se/term/sao	65	https://libris.kb.se/p71dbl414m7hz3c#it	https://id.kb.se/term/saogf/Reseskildringar	
https://id.kb.se/term/sao/Folkmusik	https://id.kb.se/term/sao	63	https://libris.kb.se/zh9bwrb922chdsz#it	https://id.kb.se/term/saogf/Folkmusik	
https://id.kb.se/term/sao/Bibliografier	https://id.kb.se/term/sao	63	https://libris.kb.se/0h94r94b0vs4n0x#it	https://id.kb.se/term/saogf/Bibliografier	
https://id.kb.se/term/sao/Uvertyrer	https://id.kb.se/term/sao	63	https://libris.kb.se/xg8hl40843nlz9j#it	https://id.kb.se/term/saogf/Uvertyrer	
https://id.kb.se/term/sao/Romanser	https://id.kb.se/term/sao	62	https://libris.kb.se/dwpbbv1q2mj4ks6#it	https://id.kb.se/term/saogf/Romanser	
https://id.kb.se/term/sao/Likpredikningar	https://id.kb.se/term/sao	61	https://libris.kb.se/g0sx0f0s2dvtx89#it	https://id.kb.se/term/saogf/Likpredikningar	
https://id.kb.se/term/sao/Alternativ%20rock	https://id.kb.se/term/sao	61	https://libris.kb.se/fzrwdtbr2wc8xcr#it	https://id.kb.se/term/saogf/Alternativ%20rock	
https://id.kb.se/term/sao/Vokalmusik	https://id.kb.se/term/sao	60	https://libris.kb.se/n601k2b006l5mwv#it	https://id.kb.se/term/saogf/Vokalmusik	
https://id.kb.se/term/sao/K%C3%A4llmaterial	https://id.kb.se/term/sao	59	https://libris.kb.se/3mfphxkf05xg8cr#it	https://id.kb.se/term/saogf/K%C3%A4llmaterial	
https://id.kb.se/term/sao/Dansundervisning	https://id.kb.se/term/sao	55	https://libris.kb.se/l4xzfjzx380tt6q#it		x
https://id.kb.se/term/sao/Symfoniska%20dikter	https://id.kb.se/term/sao	55	https://libris.kb.se/1kcdvwsc2tmwcnl#it	https://id.kb.se/term/saogf/Symfoniska%20dikter	
https://id.kb.se/term/sao/Ungdomsb%C3%B6cker	https://id.kb.se/term/sao	54	https://libris.kb.se/l3ww8j9x1bhxvds#it	https://id.kb.se/term/barngf/Ungdomsb%C3%B6cker	
https://id.kb.se/term/barn/Tecknade%20serier	https://id.kb.se/term/barn	49	https://libris.kb.se/gzrqn0bs3jvdff0#it	https://id.kb.se/term/barn/Tecknade%20serier	
https://id.kb.se/term/sao/Ambient%20musik	https://id.kb.se/term/sao	49	https://libris.kb.se/l4x2n2mx1kz2b4c#it	https://id.kb.se/term/saogf/Ambient%20musik	
https://id.kb.se/term/sao/Violinkonserter	https://id.kb.se/term/sao	49	https://libris.kb.se/6qjk1bmj36r20hn#it	https://id.kb.se/term/saogf/Violinkonserter	
https://id.kb.se/term/sao/Barn-%20och%20ungdomslitteratur	https://id.kb.se/term/sao	48	https://libris.kb.se/cwp0qz4p5km9g3t#it	https://id.kb.se/term/barngf/Barn-%20och%20ungdomslitteratur	
https://id.kb.se/term/sao/Julmusik	https://id.kb.se/term/sao	48	https://libris.kb.se/j2v1vzzv0d8sgnv#it	https://id.kb.se/term/saogf/Julmusik	
https://id.kb.se/term/sao/Elektronisk%20popul%C3%A4rmusik	https://id.kb.se/term/sao	47	https://libris.kb.se/zh9j9k3904q57r9#it	https://id.kb.se/term/saogf/Elektronisk%20popul%C3%A4rmusik	
https://id.kb.se/term/sao/Musikaler	https://id.kb.se/term/sao	47	https://libris.kb.se/xg89k6482737lhg#it	https://id.kb.se/term/saogf/Musikaler	
https://id.kb.se/term/sao/Kammarmusik	https://id.kb.se/term/sao	46	https://libris.kb.se/2ldgfpvd3s8lxr8#it	https://id.kb.se/term/saogf/Kammarmusik	
https://id.kb.se/term/sao/Lieder	https://id.kb.se/term/sao	46	https://libris.kb.se/vc5s85x60npmkd9#it	https://id.kb.se/term/saogf/Lieder	
https://id.kb.se/term/sao/Barockmusik	https://id.kb.se/term/sao	46	https://libris.kb.se/6qjk1bmj36r20hn#it	https://id.kb.se/term/saogf/Barockmusik	
https://id.kb.se/term/sao/Blues	https://id.kb.se/term/sao	46	https://libris.kb.se/bvnplqsn5szf7jl#it	https://id.kb.se/term/saogf/Blues	
https://id.kb.se/term/barn/Sagor	https://id.kb.se/term/barn	45	https://libris.kb.se/j1tfhn9v1wm46pn#it	https://id.kb.se/term/barngf/Sagor	
https://id.kb.se/term/sao/Rap	https://id.kb.se/term/sao	45	https://libris.kb.se/n6021pq028z1vxp#it	https://id.kb.se/term/saogf/Rap	
https://id.kb.se/term/sao/Solos%C3%A5ng	https://id.kb.se/term/sao	45	https://libris.kb.se/5phjwl3h4f2vh5j#it	https://id.kb.se/term/saogf/Solos%C3%A5ng	
https://id.kb.se/term/sao/Electronica	https://id.kb.se/term/sao	45	https://libris.kb.se/p712mjx13hczzt7#it	https://id.kb.se/term/saogf/Electronica	
https://id.kb.se/term/sao/Bildverk	https://id.kb.se/term/sao	45	https://libris.kb.se/6qjthj2j4wlph5f#it	https://id.kb.se/term/saogf/Bildverk	
https://id.kb.se/term/sao/Arior	https://id.kb.se/term/sao	44	https://libris.kb.se/7rknwfbk3mcsdqv#it	https://id.kb.se/term/saogf/Arior	
https://id.kb.se/term/sao/Slagverk	https://id.kb.se/term/sao	41	https://libris.kb.se/1kcdrx8c3h348dn#it	https://id.kb.se/term/saogf/Slagverk	
https://id.kb.se/term/sao/Pianotrior	https://id.kb.se/term/sao	39	https://libris.kb.se/r936zt032b7lhnj#it	https://id.kb.se/term/saogf/Pianotrior	
https://id.kb.se/term/sao/Countrymusik	https://id.kb.se/term/sao	39	https://libris.kb.se/8slnmvjl0h1gbgz#it	https://id.kb.se/term/saogf/Countrymusik	
https://id.kb.se/term/sao/Ess%C3%A4er	https://id.kb.se/term/sao	38	https://libris.kb.se/dxqqqhlq1ws6qdx#it	https://id.kb.se/term/saogf/Ess%C3%A4er	
https://id.kb.se/term/sao/Soul%20%28musik%29	https://id.kb.se/term/sao	38	https://libris.kb.se/h1tvq3vt227fm8s#it	https://id.kb.se/term/saogf/Soul%20%28musik%29	
https://id.kb.se/term/sao/Tango	https://id.kb.se/term/sao	38	https://libris.kb.se/fzr4vxpr5pmx544#it	https://id.kb.se/term/saogf/Tango	
https://id.kb.se/term/sao/Opera	https://id.kb.se/term/sao	38	https://libris.kb.se/n6038bh048p1pmz#it	https://id.kb.se/term/saogf/Operor	
https://id.kb.se/term/sao/Progressiv%20jazz	https://id.kb.se/term/sao	38	https://libris.kb.se/8slnlkdl27vb7wm#it	https://id.kb.se/term/saogf/Progressiv%20jazz	
https://id.kb.se/term/sao/Ljudb%C3%B6cker	https://id.kb.se/term/sao	38	https://libris.kb.se/9tmqw01m59zqtxz#it	https://id.kb.se/term/saogf/Ljudb%C3%B6cker	
https://id.kb.se/term/sao/Klarinett	https://id.kb.se/term/sao	37	https://libris.kb.se/xg89rqr84q8nn8l#it	https://id.kb.se/term/saogf/Klarinett	
https://id.kb.se/term/sao/Encyklopedier	https://id.kb.se/term/sao	37	https://libris.kb.se/q71mbss2436c5sn#it	https://id.kb.se/term/saogf/Encyklopedier	
https://id.kb.se/term/sao/Folkrock	https://id.kb.se/term/sao	37	https://libris.kb.se/p712m8311gj2bcc#it	https://id.kb.se/term/saogf/Folkrock	
https://id.kb.se/term/sao/R%26B%20%28musik%29	https://id.kb.se/term/sao	37	https://libris.kb.se/l4x0zmmx1lcb9dj#it	https://id.kb.se/term/saogf/R%26B%20%28musik%29	
https://id.kb.se/term/sao/Pianokonserter	https://id.kb.se/term/sao	36	https://libris.kb.se/4mff8vmg11msr97#it	https://id.kb.se/term/saogf/Pianokonserter	
https://id.kb.se/term/sao/A%20cappella	https://id.kb.se/term/sao	36	https://libris.kb.se/2ldhntdd3h3vnp3#it	https://id.kb.se/term/saogf/A%20cappella	
https://id.kb.se/term/sao/Sopran%20%28r%C3%B6st%29	https://id.kb.se/term/sao	36	https://libris.kb.se/7rknwfbk3mcsdqv#it	https://id.kb.se/term/saogf/Sopran%20%28r%C3%B6st%29	
https://id.kb.se/term/sao/Flamenco	https://id.kb.se/term/sao	35	https://libris.kb.se/j2vxvtmv46xcfns#it	https://id.kb.se/term/saogf/Flamenco	
https://id.kb.se/term/sao/Romantik%20%28musik%29	https://id.kb.se/term/sao	35	https://libris.kb.se/g0stbk6s1tlhn21#it	https://id.kb.se/term/saogf/Romantik%20%28musik%29	
https://id.kb.se/term/sao/Elektroakustisk%20musik	https://id.kb.se/term/sao	35	https://libris.kb.se/7rklzndk00z5q6w#it	https://id.kb.se/term/saogf/Elektroakustisk%20musik	
https://id.kb.se/term/sao/Kartor	https://id.kb.se/term/sao	35	https://libris.kb.se/0jbkf8cb200kf36#it	https://id.kb.se/term/saogf/Kartor	
https://id.kb.se/term/sao/K%C3%B6rmusik	https://id.kb.se/term/sao	34	https://libris.kb.se/q823nbs22hhkcqc#it		
https://id.kb.se/term/sao/Periodika	https://id.kb.se/term/sao	34	https://libris.kb.se/zh9npz690jgq7kx#it		
https://id.kb.se/term/sao/Duetter	https://id.kb.se/term/sao	33	https://libris.kb.se/tb4108b555hk1km#it		
https://id.kb.se/term/sao/Fotografi	https://id.kb.se/term/sao	33	https://libris.kb.se/r822d7b3163r37k#it		
https://id.kb.se/term/sao/Valser	https://id.kb.se/term/sao	33	https://libris.kb.se/k3wc8grw1vp7cw7#it		
https://id.kb.se/term/sao/Blockfl%C3%B6jt	https://id.kb.se/term/sao	33	https://libris.kb.se/1kcdx1zc3r377s6#it		
https://id.kb.se/term/sao/Experimentell%20rock	https://id.kb.se/term/sao	33	https://libris.kb.se/k3w094zw13066vc#it		
https://id.kb.se/term/sao/M%C3%A4ssor%20%28musik%29	https://id.kb.se/term/sao	33	https://libris.kb.se/2ldvkk3d2sg2wzv#it		
https://id.kb.se/term/sao/Hiphop	https://id.kb.se/term/sao	32	https://libris.kb.se/n6021pq028z1vxp#it		
https://id.kb.se/term/sao/Saxofon	https://id.kb.se/term/sao	32	https://libris.kb.se/r93fmdp335djvmj#it		
https://id.kb.se/term/sao/Modernism%20%28musik%29	https://id.kb.se/term/sao	31	https://libris.kb.se/k3wx6t5w2cntglj#it		
https://id.kb.se/term/sao/Preludier	https://id.kb.se/term/sao	31	https://libris.kb.se/bvnpm1wn3p52xr4#it		
https://id.kb.se/term/sao/Operetter	https://id.kb.se/term/sao	30	https://libris.kb.se/tc553gc54zsjx7s#it		
https://id.kb.se/term/sao/Str%C3%A5korkestrar	https://id.kb.se/term/sao	30	https://libris.kb.se/zh9mvk2935l7llc#it		
https://id.kb.se/term/sao/Tangentinstrument	https://id.kb.se/term/sao	30	https://libris.kb.se/wf78rxr727hb57r#it		
https://id.kb.se/term/sao/Sagor	https://id.kb.se/term/sao	30	https://libris.kb.se/xg8cl7q83brg07s#it		
https://id.kb.se/term/sao/Barnvisor	https://id.kb.se/term/sao	29	https://libris.kb.se/n601stw0528x5kc#it		
https://id.kb.se/term/sao/Folksagor	https://id.kb.se/term/sao	29	https://libris.kb.se/fxqppg5r221s7rk#it		
https://id.kb.se/term/sao/Samlingsverk	https://id.kb.se/term/sao	29	https://libris.kb.se/n5zkm1g05d5lvcv#it		
https://id.kb.se/term/sao/Serieromaner	https://id.kb.se/term/sao	29	https://libris.kb.se/1kcnmd2c3v7613d#it		
https://id.kb.se/term/sao/Kantater	https://id.kb.se/term/sao	29	https://libris.kb.se/l4xbdgtx16wf9n5#it		
https://id.kb.se/term/sao/Trior	https://id.kb.se/term/sao	28	https://libris.kb.se/0jbc3p0b0nmq97s#it		
https://id.kb.se/term/sao/Violin%20och%20piano	https://id.kb.se/term/sao	28	https://libris.kb.se/8slpvztl5hcq8pf#it		
https://id.kb.se/term/sao/Musikinspelningar	https://id.kb.se/term/sao	28	https://libris.kb.se/vd6g2rc62n5fnh7#it		
https://id.kb.se/term/sao/Kvartetter	https://id.kb.se/term/sao	27	https://libris.kb.se/r93gdw433xv4v0d#it		
https://id.kb.se/term/sao/Uppbyggelselitteratur	https://id.kb.se/term/sao	26	https://libris.kb.se/8rk74mnl4m5gtkv#it		
https://id.kb.se/term/sao/Fallstudier	https://id.kb.se/term/sao	26	https://libris.kb.se/q82cznw23sr13p3#it		
https://id.kb.se/term/sao/Symfoniorkestrar	https://id.kb.se/term/sao	25	https://libris.kb.se/k3wx6t5w2cntglj#it		
https://id.kb.se/term/sao/L%C3%A4ttl%C3%A4st	https://id.kb.se/term/sao	25	https://libris.kb.se/fzr7f2gr1sgpc44#it		
https://id.kb.se/term/sao/Viola	https://id.kb.se/term/sao	24	https://libris.kb.se/0jbfkpsb0d3bhm2#it		
https://id.kb.se/term/sao/Klassicism%20%28musik%29	https://id.kb.se/term/sao	24	https://libris.kb.se/p712ksv13bzgwk1#it		
https://id.kb.se/term/sao/Cembalo	https://id.kb.se/term/sao	23	https://libris.kb.se/7rkw6dkk2fkgfn1#it		
https://id.kb.se/term/sao/Fusion%20%28modern%20jazz%29	https://id.kb.se/term/sao	23	https://libris.kb.se/0jbf5k3b0gd8kbz#it		
https://id.kb.se/term/sao/Balettmusik	https://id.kb.se/term/sao	23	https://libris.kb.se/4nghvlxg48qmcmd#it		
https://id.kb.se/term/sao/Rekviem%20%28musik%29	https://id.kb.se/term/sao	23	https://libris.kb.se/6qjv899j44t6320#it		
https://id.kb.se/term/sao/Fantasier%20%28musik%29	https://id.kb.se/term/sao	23	https://libris.kb.se/bvnpm1wn3p52xr4#it		
https://id.kb.se/term/sao/Fugor	https://id.kb.se/term/sao	22	https://libris.kb.se/1kcgphwc534jfgf#it		
https://id.kb.se/term/sao/Folkdiktning	https://id.kb.se/term/sao	22	https://libris.kb.se/0h985hnb3lj5m1p#it		
https://id.kb.se/term/sao/Manga	https://id.kb.se/term/sao	22	https://libris.kb.se/l4xxnzrx4mqkjdz#it		
https://id.kb.se/term/sao/Pianosonater	https://id.kb.se/term/sao	22	https://libris.kb.se/5phl88qh0c0zcgx#it		
https://id.kb.se/term/sao/Bl%C3%A5sorkestrar	https://id.kb.se/term/sao	22	https://libris.kb.se/8slmf5gl57dbl9n#it		
https://id.kb.se/term/sao/Dramatisk%20och%20scenisk%20musik	https://id.kb.se/term/sao	22	https://libris.kb.se/dxq12q9q2gwkw42#it		
https://id.kb.se/term/sao/Syntpop	https://id.kb.se/term/sao	22	https://libris.kb.se/n601w1l00dx83qx#it		
https://id.kb.se/term/sao/S%C3%A4gner	https://id.kb.se/term/sao	21	https://libris.kb.se/k2vkz5mw3r3hnrm#it		
