hubTitle	entity
Bibeln	Bibeln. · Swedish New Living Bible (Nya Levande Bibeln). · 2015 · swe
Puranas. Agnipurāṇa	Purāṇa. · [Agnipurāṇam]
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna.] · chu
Den svenska psalmboken	Psalmboken 1786
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · Oiratiska-kalmuckiska
Bibeln. Psaltaren. Urval	Bibeln. · [Psaltaren.] · Urval · Engelska & Medelpersiska.
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1630 · spa
Haggadah	Haggada. Hebreiska
Avesta. Yasna. Gāthā	Avesta. · [Yasna., Gathas.] · eng
Den svenska psalmboken	Psalmboken 1795 Örebro.
Egils saga Skallagrímssonar	Egils saga Skallagrímssonar · nno
Njáls saga	Njáls saga
Sindbad sjöfararen	The adventures of Sindbad the sailor.
Bibeln	Bibeln. · 1703. · 1812 Rumstedt 2. · swe
Bibeln	Bibeln. · 1483 · lat
Nikodemosevangeliet	Nikodemosevangeliet. · Koptiska & Italienska
Bibeln	Bible. · Authorised. · 1730. · eng
Bibeln	Bibeln · Luther. · 1974 · ger
Bibeln. Paulus-breven. Urval	Bibeln. · [Paulus-breven.] · Urval · spa
al-Muʻallaqāt	Muʻallaqah. · Engelska & Arabiska
Bibeln. Domarboken	Bibeln. · [Domarboken. Franska]
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 18-- · Hebreiska & Engelska.
Gilgamesh	Gilgamesj-eposet. · swe
Tipiṭaka. Suttapiṭaka. Khuddakanikāya. Dhammapada	Tipiṭaka. · [Suttapiṭaka., Khuddakanikāya., Dhammapada. Pali]
Bibeln. Johannesevangeliet	Bible. · [John.] · Slocum-Gerdel. · 1954. · Tzeltal.
Den svenska psalmboken	Psalmboken 1778 Örebro.
Bibeln. Poetiska böckerna	Bibeln · [Poetiska böckerna.] · 1747 · ger
Puranas. Skandapurāṇa	Purāṇa. · [Skandapurāṇa. Engelska]
Mishnah. Megillah	Mishna. · [Megillah. Engelska & hebreiska]
Bibeln. Korinthierbreven	Bibeln. · [Korinthierbreven.] · eng
Bibeln. Moseboken 1	Bibeln. · [Moseboken 1.] · Polyglott
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · gre
