https://libris.kb.se/dbqt0pjx39w99p1#it			Acta Alexandrinorum
lokalt verk			Aisopos fabler	 Aesop's fables.                                              
lokalt verk			Aisopos fabler	 Aesop's fables. · eng                                        
lokalt verk			Aisopos fabler	 Aesop's fables. · lat                                        
https://libris.kb.se/rp354bs90q2sqwl#it			Ahikar	Ahiqar
https://libris.kb.se/dbqtznsx3qkf3c4#it			Alexander and Dindimus	
https://libris.kb.se/c9psz3jw1s24n3v#it			Alexander Magnus	Alexanderlied, Alexanderroman, Der Brief Alexanders an Aristoteles Á¼ber die Wunder Indiens, Der Grosse Alexander, Epistola Alexandri ad Aristotelem
https://libris.kb.se/nl037w463j2cv7k#it			Alexanders saga	
https://libris.kb.se/31fjnc1m3m339m0#it			Alexandreis	Alexandreida, Povídka o Alexandru Velikém
https://libris.kb.se/0xbfk85j35pqdjq#it			Alexandrida	"Alexandride serbe, Der ""serbische"" Alexanderroman, Die serbische Alexandreis, Serbische Alexandersage, Srpska Aleksandrida"
https://libris.kb.se/fcrv001z5fc7rmr#it	https://id.kb.se/language/swe		Alfred in India	Alfred i Indien, eller Skildringar från Hindostan, Lille Alfreds resor i Indien, eller Scener i Hindostan
https://libris.kb.se/b8nqt75v0r47l0c#it			Aliscans	Bataille d'Aliscans, Bataille d'Arleschant
lokalt verk		LC: Muʻallaqāt	al-Muʻallaqāt	al-Muʻallaqāt                                                
https://libris.kb.se/75kmm5kr0pggtp1#it			Amadis de Gaula	Amadis, Amadis de Gaula (Spanish romance)
https://libris.kb.se/vs687fwd3lctx9t#it			Ami et Amile	Amis et Amiles, Amis und Amiloun
https://libris.kb.se/64jlmjnq5pbwfjk#it			Amicus och Amelius	Ami et Amile, Amis and Amiloun, Amlyn ac Amig
https://libris.kb.se/wt798gxf5dwl93c#it			Ancren riwle	Ancren riwle, Ancrene riwle, Ancrene wisse, Nuns' guide, Nuns' rule, The recluse
https://libris.kb.se/b8nrx3sv1mq1qqq#it			Anonymi Contra Iudaeos	Anonymi Contra  Iudaeos, Anonymi Contra Ivdaeos
https://libris.kb.se/sq465czb5c10m56#it			ʻAntar	Ê»Antara ibn Å addād (epos), Ê»Antarah ibn Shaddād (epos)
lokalt verk			Tusen och en natt. Urval	 Arabian nights. · Selections. · eng                          
https://libris.kb.se/vs69hkfd2sjq7qb#it			Ars moriendi	"Ars moriendi ""Cum circa propriam vitam"", Ars moriendi ""Cum de praesentis exilii miseria mortis transitus"", Ars moriendi ""Quamvis secundum philosophum tertio Ethicorum"", Speculum artis bene moriendi"
https://libris.kb.se/gdsw2t600gpj3pw#it			Arthour and Merlin	Of Arthour and of Merlin
https://libris.kb.se/zw9cbj0h01rzt92#it			Aspremont	Aspramonte, Chanson d'Aspremont
lokalt verk			Aucassin et Nicolette                                        	Aucassin et Nicolette                                        
https://libris.kb.se/1zcgmvzk14s913l#it			Auctoritates Aristotelis	Auctoritates Aristotelis (Parvi flores), Auctoritates Aristotelis et aliorum philosophorum, Urval.
https://libris.kb.se/xv8cj9ng07p1q1r#it			Awntyrs of Arthur	Awntyrs of Arthure, Awntyrs off Arthure, Awntyrs off Arthure at the Terne Wathelyn
https://libris.kb.se/42gjhp5n2gh6z58#it			Banū Hilāl	Benī Hilāl, Sīrat Banī Hilāl, Sīrat Banū Hilāl, as-Sīra l-hilālīya
https://libris.kb.se/rp36ch892t4qdbb#it			Barlaam a Josafat	
https://libris.kb.se/ljx16b3404273zk#it			Barlaam et Josaphat	
https://libris.kb.se/nl038d565dv8nxh#it			Barlaam e Josaphat	Barlaam et Jozaphas
https://libris.kb.se/c9psz4xw40vx5fb#it			Barlaam et Joasaph	Baarlam and Ioasaph, Barlaam et Joasaph, Historia animae utilis de Barlaam et Ioasaph, Historia de vitis et rebus gestis SS. Barlaam, eremitae et Josaphat, Indiae regis, Historia von dem Leben und Thaten beyder heyligen Beichtiger und Eremiten Barlaam und Josaphats, Historia von dem leben der zweyen H. Beichtiger Barlaam Eremiten und Josaphat des Königs, Legende von Barlaam und Josaphat, Vita Barlaam et Joasaph
https://libris.kb.se/75kntzqr03fnfm8#it			Barlaam y Josaphat	Libro de la vida de Barlan e del rey Josapha de India
https://libris.kb.se/wt7bhmcf3w50cnq#it			Barlaams saga og Jósafats	Barlaams ok Josaphats saga
https://libris.kb.se/rp36cjb90pcj073#it			Barlaão e Josafá	Vida do honrado infante Josaphate filho del rey Avenir
https://libris.kb.se/20dhm3hl43973gh#it		Vissa poster som är knutna till denna titel verkar vara felgjorda	Batrachomyomachia	Batrachomachia, Batrachomyomachia, Batrachomyomachie, Battle of the frogs and mice, Combat des grenouilles et des rats, Combat des rats et des grenouilles, Froschmäusekrieg, La battaglia delle rane e dei topi, Ranarum muriumque pugna, Striden mellan grodor och möss, Striden mellan grodorna och mössen
lokalt verk			Battle of Maldon                                             	Battle of Maldon                                             
https://libris.kb.se/xv8cjtzg3c1k0cs#it			Beowulf	Beovulf, Beowolf
