hubTitle	entity
Bibeln. Historiska böckerna	Bible. · [O.T., Historical Books.] · por
Almanackor	Almanack 1685 Voigt
Corpus juris civilis	Corpus iuris civilis
Bibeln	Bibeln. · Authorized. · 2003 · eng
Eiríks saga rauða	Eiríks saga rauđa. · Urval
Bibeln	Bibeln. · 1897 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Lefèvre d'Etaples · fre
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · spa
Talmud Yerushalmi. Nashim	Talmud yerushalmi · [Nashim]
Bibeln. Predikaren. Urval	Bible. · [O.T., Ecclesiastes., Greenway.] · Selections. · eng
Bibeln	Bibeln. Portugisiska
Bibeln. Nya Testamentet. Urval	Bibeln. · [Nya Testamentet.] · Urval. · Giertz-Asunta. · fin
Psalmböcker	Psalmboken · dan
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1694 · heb
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1919 · swe
Tripiṭaka. Sūtrapiṭaka. Vimalakīrtinirdeśa	Vimalakīrtinirdeśa
Völuspá	Völuspá. · lat
Bibeln. Jeremia	Bibeln. · [Jeremia. Tyska]
Evangelier och epistlar	Evangelier och epistlar 1832 Uddevalla
Poema del Cid	Cid. Engelska & Spanska
Bibeln	Bibeln · [1739] · est
Bibeln. Daniel	Bibeln. · [Daniel.] · 1837 · Hebreiska & Tyska.
Bibeln. Paulus-breven. Urval	Bibeln. · [Paulus-breven.] · Urval · Giertz. · swe
Almanackor	Almanack 1789 KVA Lund.
Dödahavsrullarna. Urval	Dödahavsrullarna. · Urval
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet. Agatu]
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · Nylatin.
Facetus	Facetus.
Tripiṭaka. Sūtrapiṭaka. Kāraṇḍavyūhasūtra	Tripiṭaka. · [Sūtrapiṭaka., Kāraṇḍavyūhasūtra]
Tēvāram	Tēvāram
Bibeln. Nya Testamentet	Bible. · [N.T.] · 1693. · fre
Bibeln	Bibeln · 1870 · swe
Den svenska psalmboken	Psalmboken 1822 Linköping.
Puranas. Liṅgapurāṇa	Purāṇa. · [Liṅga-purāṇa. Engelska]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Living Bible · swe
Tipiṭaka. Suttapiṭaka. Khuddakanikāya. Dhammapada	Dhammapada · Latin & Pali
Bibeln. Moseboken 3	Bibeln. · [Moseboken 3.] · Arameiska & hebreiska
Peri tēs tou pantos physeōs	Peri tēs tou pantos physeōs. · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · fao
Bibeln	Bibeln. · 1965? · rus
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · Lagrange. · 1948 · fre
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1816 Rumstedt. · swe
Bibeln. Moseboken 1	Bibeln. · [Moseboken 1.] · arc
Bibeln	Bibeln. Isländska
Amadis de Gaula	Amadís de Gaula. · eng
Bibeln. Moseboken 2	Bibeln. · [Moseboken 2.] · Provövers. · 1838 · swe
Talmud. Nezikin	Talmud. · [Nezikin]
Voyage de saint Brendan	Le voyage de Saint Brendan. · Franska & fornfranska
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · dum
Mishnah. Sanhedrin	Mishna. · [Sanhedrin. Tyska & hebreiska]
Bibeln. Höga visan	Bibeln. · [Höga visan.] · Polyglott.
Almanackor	Almanack 1766 KVA Lund.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1881 · fre
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · nor
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1909 · tir
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1661 · dut
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · Provövers. · 1834 · swe
Almanackor	Almanack 1901 KVA Sthlm
Bibeln	Bibeln. · Wycliffe. · 1978 · Latin & Engelska (Medelengelska).
Bhagavadgītā	Bhagavadgita
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · NT 81. · swe
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1724 · Hebreiska & Latin.
Almanackor	Almanack 1829 KVA Haparanda.
Sept sages de Rome	Seven sages of Rome. · 1713. · eng
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · Schniewind. · 1933 · ger
Bibeln	Bibeln. · Authorized. · 1644. · eng
Bibeln. Matteusevangeliet	Bible. · [N.T., Matthew., Authorised.] · eng
Bibeln	Bibeln. · 1663 · dut
Bibeln. Paulus-breven. Urval	Bibeln. · [Paulus-breven.] · Urval. · 1917. · 1961 · swe
Ólafs saga Tryggvasonar	Óláfs saga Tryggvasonar. · dan
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · ger
Talmud Yerushalmi. Nashim	Talmud yerushalmi. · [Nashim]
Evangelier och epistlar	Evangelier och epistlar 1816 Sthlm ordenstr.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Douai. · 1947 · eng
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · Authorized. · eng
Bibeln. Romarbrevet	Bibeln. · [Romarbrevet.] · 1969 · swe
Bibeln	Bibeln. · 1613 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1526. · 1966 · swe
Bibeln. Skrifterna (Ketuvim)	Bible. · [O.T., Hagiographa., Authorised.] · Selections. · English and Latin.
Bibeln. Jesus Syraks vishet	Raamattu. · [VT., Apokryfit., Jeesus Siirakin kirja]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet] · wel
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · Folkbibeln, rev. · 2009 · swe
Almanackor	Almanack 1787 KVA Åbo.
Jómsvikinga saga	Jómsvíkinga saga. · 1882
Koranen	Koranen. Svenska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1841. · Grekiska.
Evangelier och epistlar	Evangelier och epistlar 1803 Nyköping.
Almanackor	Almanack 1698 Voigt
Koranen. Urval	Koranen. · [Sura 3.] · swe
Den svenska psalmboken	Psalmboken 1696 Stockholm
Almanackor	Almanack 1843 KVA Gbg.
Bibeln. Höga visan	Bibeln. · [Höga Visan.] · Münster. · 1525 · Hebreiska & Latin.
Bibeln	Bibeln. · Crampon. · 1939 · fre
Bibeln	Bibeln. · Authorized. · 1644 · eng
Bibeln. Gamla Testamentet	Bible. · [O.T. Hebrew]
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · heb
Poema de Yúçuf	Poema de Yuçuf
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1943 · swe
