libris_id,mods_identifier_type,mods_identifier_value
8tdjqg476ks82vm9,GRID,A10302B00109394447
8tc2x4476blv6trq,GRID,A10302B0010922889X
wgzss2mktr74kmwn,GRID,A10302B0010881545R
zj1ff5tzwzl5w3fp,GRID,A10302B00108892601
scvw4nn5q2k5dz9q,GRID,A10302B0010881550Z
zj0bppcmw0z66l2c,GRID,A10302B0010833380Z
cxc520px9bxz439w,GRID,A10302B0010807782V
k4kjf05bhlx3plds,GRID,A10302B0010745919Y
n7mjw6jpl7wcngmc,GRID,A10302B0010801493Y
dzcxtv3lbdk6xbfv,GRID,A10302B00107815272
2m0qqxxb0zdkq0p7,GRID,A10302B0010754515L
vfs60gtms69l152j,GRID,A10302B0010678860Q
bw8dmcmq875wjqv2,GRID,A10302B0010736828J
9t6vlpq07l94xbg0,GRID,A10302B0010718180L
wfmfv9bgt9rp09kb,GRID,A10302B00105007558
zhnnx091wmzgnp1p,GRID,A10302B00104971942
k37nwp6xhw6686th,GRID,A10302B0010478176D
2lp9w1590dnq17p1,GRID,A10302B00103787295
fz1ss2njc0cfgd7x,GRID,A10302B0010341498M
6qsj7t8t4mwbbdtr,GRID,A10302B00103787383
k34zg3dfh8pjp67z,GRID,A10302B0010299410Z
sbcvgxjdq7b7527m,GRID,A10302B0010151537G
vddbb2qvspncvp78,GRID,A10302B00102960649
cwv47swb9x7fm1c2,GRID,A10302B0010293456R
8sntfzqv6ls9fht6,GRID,A10302B0010141808Y
l404sd7wj4wsrr1p,GRID,A10302B00101653212
m5z9b8s0k5pcw3h3,GRID,A10302B00100197328
7rkwxvbp59kzzd88,GRID,A10302B00100197352
g0s453lhdl7rcpdh,GRID,A10302B00100197336
sb4ghfxjqv1btmpr,GRID,A10302B00100197344
r93bwzmfpmcp5dn8,GRID,A10302B0010104393P
h1t2mpdvf9n07z54,GRID,A10302B0010087069W
g0qv53qkdlg5k1kc,GRID,A10302B0009901990C
cwmszpvq9pffn2hw,GRID,A10302B0010048359V
0j85l959xql345c5,GRID,A10302B0009996359L
sb21q3vcqqnvtb9c,GRID,A10302B00100171622
9tjs82ts7xtwxf3c,GRID,A10302B00100046545
3m86dk7h1zwdvn6s,GRID,A10302B00084555737
zh2sv4q4w78z1tpx,GRID,A10302B0009901438L
xgzq8fpnv2qf33tv,GRID,A10302B00097930719
wfv7578btkdmd593,GRID,A10302B0009643234A
g0fsqs43d03s3521,GRID,A10302B0009661644G
k3jws5l1hmpd0lpp,GRID,A10302B0009669495U
tcs52fjwrvq1cx0x,GRID,A10302B00097731994
q8p203m7n77jkf70,GRID,A10302B0009661645E
q8p21r2mn71lds27,GRID,A10302B0004433241U
tcs54vlkrwjc5jw2,GRID,A10302B0009643234A
6q5jfv8j4mwcwppx,GRID,A10302B0009596571H
r9q3zlw2pjb69l9w,GRID,A10302B0009596570J
bv9nkwhm8945rxd9,GRID,A10302B0009700085Z
vdt1r466s7v9jbwm,GRID,A10302B0003574586Y
k3jrj21vhbd6g731,GRID,A10302B0001876642C
h1gpd38lf7kcsdm1,GRID,A10306F00000031ENQ
n6mwmg7jlcqlc079,GRID,A10302B0007394475L
6q5f58l046s3p34v,GRID,A10302B0005307819C
j2hqjf20g4zhlkl6,GRID,A10302B0003433735U
vdt2tcc1sqrjnm67,GRID,A10302B0004702426P
p7nwl9hnmp5hgzf1,GRID,A10306F0000000Y6GV
q8pzpjb6n02lth66,GRID,A10302B0007727526L
vdt2slfbsmdtfqdr,GRID,A10302B0000016621U
m5lvlp21k1xv4bnv,GRID,A10302B00055126071
dxcmbq0nbrdsb1nv,GRID,A10302B00082160621
p7nwl9hbm6f5h77d,GRID,A10302B0004960845D
l4ktkd7sjrh0cmx2,GRID,A10302B0007144108M
7r6g69p65vp5c0hr,GRID,A10302B00092689364
l4kslh71jzmf613w,GRID,A10302B0000270848P
xgw5v8k1v1b9ctdf,GRID,A10302B0008306316T
k3jrkpb7hf1p2wlg,GRID,A10302B0000238880R
m5ltj7g2kqxn0px4,GRID,A10302B00051877170
cwblb5059szz2kbv,GRID,A10302B0007107912U
0jz7z2gtx8tn82sb,GRID,A10302B00082404714
2l1826w80qb6tkcz,GRID,A10302B0000386423H
l4ksh6gqjhc4rrsm,GRID,A10306F00000015LZ9
n6mwmgb2ljzqx994,GRID,A10302B00076887958
8s7h7brp6z9rwtm0,GRID,A10306F0000000Y5W3
vdt2vrkcs4wzvt60,GRID,A10302B0000471139B
0jz7xbngx9fvdhpd,GRID,A10302B0008629052N
