86lnkhws22bm6js	0000000116499115
dbqspm1x1wwr2pz	0000000121299169
qn241zd82rcz89v	0000000066384511
hftwsq611s2k283	0000000114452815
75kmjgxr3c2z1n9	0000000122841968
tr5742kc56mdq63	0000000120188758
vs6853ld2tjl68f	0000000108921101
0xbd97qj2tz9x16	000000008122425X
nl02zwg64lpkhrj	0000000083806069
fcrtqn8z5g95v4l	0000000110317894
rp3520m91f4fp46	0000000121280652
vs6853qd4206ztk	0000000118674853
mkz1xvj50mxjk8g	0000000083969845
rp3520n90gpq1l9	000000012132837X
86lnkh5s1dlcsmj	0000000121246526
rp3520p92cw1kgx	0000000110316592
hftwsqh1028pxbt	0000000108610071
42gjfc5n069482l	0000000116137886
hftwsqk15qdtsjh	0000000121480451
tr5742xc046q292	0000000081586103
20dgc95l2x67wn0	0000000109011708
dbqspmhx2c09ffw	000000010913779X
42gjfc8n0gsgdxl	0000000121190710
b8nqmkhv2t94jkl	0000000079122828
hftwsqp1176pxjp	0000000053394358
dbqspmlx2vztfcp	0000000108013170
42gjfccn1fwd5qq	0000000121469316
53hkgdfp5ssgqc3	0000000119360725
97mpljkt5qtr5zv	0000000082548264
42gjfcfn21wpzq3	0000000081334993
dbqspmqx0z27d0d	0000000080029102
fcrtqnsz2plhj8t	0000000122811355
42gjfckn2fc3662	0000000081386515
mkz1xv452w561pm	0000000081333085
42gjfdnn2qts6kn	0000000115637483
64jlhgqq3fl042b	0000000383655696
20dgcbml0qfbzxl	0000000114547398
hftwsr312g4npjn	000000008206493X
rp3521c92b6hrfj	0000000110519760
20dgcbpl1kqq6mw	0000000065385723
64jlhgvq4fmksbm	0000000120186330
20dgcbrl0ff3vgr	0000000053383229
fcrtqp4z2vknv2s	0000000054701751
1zcfb9sk1tr5qdx	0000000109334347
86lnkj2s3zw9s0l	0000000119456698
fcrtqp7z4tqp0qw	0000000108984516
ljx0wvf444r1fl3	0000000362656614
gdsvrqc04x20vtw	0000000118272619
97mplk6t5hvmrxd	0000000081662137
sq4632rb5v44ll7	0000000054413418
zw9c87xh391bnmv	0000000052290848
hftwsrh148jcjlw	0000000080782890
75kmjh7r01pf0sz	0000000055383644
86lnkj8s3krnkcs	000000010964592X
wt7965xf13bh35f	0000000115927982
gdsvrqj018hbft1	0000000073644393
qn2410s819dvv1w	0000000109078777
wt79650f1z8z8qs	0000000122832703
53hkgf8p3qhbrnp	000000002738587X
pm130zt703b0bgh	0000000117613100
vs68540d2hp2tkm	0000000120225846
mkz1xws54fwhxnn	000000005272620X
wt79652f40tpp70	0000000114373471
zw9c874h1llvdgr	0000000078969218
gdsvrqn05rnrmtr	0000000119304424
rp3521093vxdjbl	0000000051219783
64jlhggq52r1d05	0000000121003831
dbqspnnx1dh6x0m	0000000052496424
wt79656f28kp0x4	0000000109808418
nl02zx162j40262	0000000117464176
wt79659f439c7kc	0000000081434230
1zcfb9fk45lz7w6	0000000109174021
20dgcbhl4hzwwnc	0000000118792112
nl02zx462ntcq2v	000000012122241X
97mplkrt53cdpxl	0000000108957868
1zcfbbkk2wfjzl2	000000011687603X
fcrtqqzz431xs98	0000000059692022
rp3522b93x4r4qw	0000000116550312
64jlhhrq2fmgpfh	0000000054635993
nl02zz861lz1fs7	0000000122785505
qn2411b83pckqgj	0000000055267053
86lnkkvs17jchlk	0000000051508382
c9prnnzw41361cz	0000000053187383
64jlhhtq03v7trl	0000000055368268
97mpllzt595hj9j	0000000120247201
jgvxtt7227ljp9l	000000008405660X
khwzvv830htmv5d	0000000108888487
wt7966lf1dp403r	0000000417458616
tr5744kc1x60p4q	0000000082229626
vs6855ld4ppp796	0000000121426498
wt7966mf48kw9ms	000000007845605X
fcrtqq5z35nktpx	0000000050613498
tr5744lc45zlg5j	0000000109228827
0xbd99rj0wnx1ch	0000000034478046
1zcfbbsk25mq52w	0000000078290774
xv8b77qg34s7tmj	0000000119358318
jgvxttc21vlr8dk	0000000110325931
