eid;Länk i klartext;Epub;Omslagsbild
zbdtx0h9wlh635z5;https://litteraturbanken.se/författare/JacobssonCF/titlar/HumoristiskaPiller/info;;
z7prx1txwnj3g6bg;https://litteraturbanken.se/författare/BergströmFFT/titlar/ErotiskaDistiker/info;;
z76kkdb5wggd4344;https://litteraturbanken.se/författare/EkKarl/titlar/SverigesHistoria/info;;
x9ns55glv2vlk8w4;https://litteraturbanken.se/författare/SilfverstolpeGM/titlar/Hemland/info;;
x9fb7d8tvsjshgbw;https://litteraturbanken.se/författare/SilfverstolpeGM/titlar/InträdestalSvenskaAkademien/info;;
x74blq2svb9qzr5h;https://litteraturbanken.se/författare/StålhandskeG/titlar/SägnerFrånSjön/info;;
x6d22gdwv7d5xjtd;https://litteraturbanken.se/författare/StrömbergL/titlar/EnkansSon/info;;
x67f95wqvqqg1ch3;https://litteraturbanken.se/författare/AndersonW/titlar/HerrOlof/info;;
x67drkrbv9b16f90;https://litteraturbanken.se/författare/GranathW/titlar/KungKarlDenUngeHjelte/info;;
w8mxcd9ztlf0ddv2;https://litteraturbanken.se/författare/WarburgK/titlar/NärViBörjade/info;;
w56xx4s9tjwvbzg5;https://litteraturbanken.se/författare/KræmerL/titlar/Eterneller/info;;
w56xc89mtmkmg36c;https://litteraturbanken.se/författare/SandbergA/titlar/GotländskaSägner1/info;;
w56wshp5tkd1kp5v;https://litteraturbanken.se/författare/HjelmR/titlar/EttStormigtLif/info;;
w55kngnjtdj3js82;https://litteraturbanken.se/författare/LidholmA/titlar/Hittebarnet/info;;
w55kmjcvt9jx3hs7;https://litteraturbanken.se/författare/LundgrenElam/titlar/PåLedigaStunder/info;;
v7lq5xzssfjtxrpc;https://litteraturbanken.se/författare/DickensC/titlar/DenBesatteOchSpökhandeln/info;;
v45c8z4nsprrfjk4;https://litteraturbanken.se/författare/QvistO/titlar/Eva/info;;
v45c70cxskw8r3k0;https://litteraturbanken.se/författare/DahlM/titlar/BrottOchStraff/info;;
t6kp1xz3rfjhzt84;https://litteraturbanken.se/författare/DickensC/titlar/LofprisÖfverJulen/info;;
t3c9nz45rlh2wgsr;https://litteraturbanken.se/författare/BützowRunquistJG/titlar/EnDamduell/info;;
s68g6mrwq28xbbl7;https://litteraturbanken.se/författare/LilliestiernaAE/titlar/EnÅttiåringsMinnen/info;;
s5jn0m0nq45qhzbr;https://litteraturbanken.se/författare/SilfverstolpeGM/titlar/Dagsljus/info;;
s57nqmfdql3d462k;https://litteraturbanken.se/författare/SilfverstolpeGM/titlar/Arvet/info;;
s2b8m1hnqtnl6w1m;https://litteraturbanken.se/författare/LindhéW/titlar/Efterkraf/info;;
s2597mjkq3203q38;https://litteraturbanken.se/författare/NyholmCA/titlar/EnTjenstflickasÖden/info;;
s22gmz6vq1mn3w1z;https://litteraturbanken.se/författare/Anonym/titlar/SaganOmDeSjuÖdlorna/info;;
r5kckdkrp4wq4295;https://litteraturbanken.se/författare/StrömbergL/titlar/SmåBlommor/info;;
r5263dqlp5t5kc11;https://litteraturbanken.se/författare/SegerstedtTorgny/titlar/IDag/info;;
r14scr8gp6qj9pnm;https://litteraturbanken.se/författare/LindholmPA/titlar/HistoriskaBerättelser5/info;;
r11fl1scpx3t3rkf;https://litteraturbanken.se/författare/WettergrundJ/titlar/SvenWandring/info;;
r11fkfr9pmkt2g2z;https://litteraturbanken.se/författare/ÖdmanP/titlar/FrånVårOchSommardagar1/info;;
q0173xrxnj4lh067;https://litteraturbanken.se/författare/GranathW/titlar/EnFrihetshjälte/info;;
q00dgkjmn3jqmjt3;https://litteraturbanken.se/författare/WaxbergH/titlar/EttFjärdedelsSekel/info;;
q00df25gnv3rjbnk;https://litteraturbanken.se/författare/LefflerAC/titlar/UrLifvet5/info;;
pz062f3dmqb39z88;https://litteraturbanken.se/författare/PersonJ/titlar/ISvenskAmerika/info;;
nxxbg0ptlf64gg8s;https://litteraturbanken.se/författare/BrattEA/titlar/RimOchSpökerier/info;;
n24b2bjqlxw6kmk4;https://litteraturbanken.se/författare/StrömF/titlar/SvenskarnaSinaOrdspråk/info;;
mwzpc111k8rdm8qd;https://litteraturbanken.se/författare/ReuterJ/titlar/SeglandeSkyar/info;;
mwjkz2lxkqmjbpvj;https://litteraturbanken.se/författare/Anonym/titlar/AbbisKirjeSamiManaita/info;;
