Titel;LibrisId;URN:NBN
Spectroscopic studies of InGaAs/GaAs/AlGaAs quantum dots and wires;9614544;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179262
Optical characterization of GaN/AlGaN quantum well structures /;9442680;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179058
Soft X-ray multilayer mirrors /;9473040;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179113
Development of a method for comparing amphetamine samples /;9496800;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179057
Studies of surface and interface properties of 4H-SiC/SiO₂ /;9614581;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179265
Strain-related structural and vibrational properties of group-III nitride layers and superlattices /;9615849;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179291
Microcontact printing for protein microarray applications /;9615886;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179539
Population processes in heterogenous landscapes /;9659374;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-177959
Optically detected magnetic resonance studies of intrinsic defects in dilute nitrides and SiC /;9665152;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179555
Multivariate modelling and monitoring for stabilisation of paperboard manufacturing /;9683140;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179546
Temperature programmed studies of molecular assemblies on gold /;9704718;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179560
Diversity, dispersal, and interactions among diving beetles and mosquitoes in Swedish wetlands;8858106;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179331
Characterisation of residues :;7671863;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186321
Optimization of financial decisions using a new stochastic programming method /;8372571;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186999
Blood protein coated model biomaterials :;8861364;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179309
Biomolecular interactions with porous silicon /;8873396;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179304
Stacking faults in silicon carbide /;8885103;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179558
Measuring microbial activity with an electronic tongue /;8889351;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179531
Electroactivity of conjugated polymers :;8889382;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179489
Nitrification and nitrifying bacterial communities in coniferous forest soils :;8898461;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179553
Gas sensing based on ellipsometric readout :;8901265;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-177914
Interaction between energy systems of buildings and utilities in an ever-changing environment /;8904007;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-177917
Boron suboxide based thin films /;9061151;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-177925
Radiation chemistry of aqueous solutions related to nuclear reactor systems and spent fuel management /;9061159;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179095
Electronic and atomic structure of metal induced reconstructions on Si(111) and Ge(111) surfaces studied by PES and STM /;9061222;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-178897
Sulfidic mine waste microorganisms in an ecological context /;9066395;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179285
Work practice, safety and heedfulness :;9079991;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179289
Preparation of functional oxide perovskites :;9145934;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179076
Regional and industrial co-operation in district heating systems /;9166044;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179107
Ellipsometric studies of SiC in the infrared, visual and ultraviolet spectral region /;9166109;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179499
Electronic tongues :;9174819;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179492
Detection and depth sounding of small targets with airborne laser bathymetry /;9186385;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179321
On aircraft development :;9188218;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179554
Phosphorylated monomolecular layers;8550582;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179557
Multivariate monitoring, modelling and control for stabilization of bioprocesses;8804174;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179550
Liquid sensing :;8393773;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179519
